x,y,z
123.139,125.239,-11.8606
123.475,124.752,-11.8394
124.003,123.96,-11.806
124.258,123.559,-11.789
124.753,122.745,-11.7543
125.051,122.229,-11.7325
125.51,121.393,-11.6975
125.732,120.97,-11.6798
126.16,120.115,-11.6443
126.418,119.574,-11.6221
126.815,118.694,-11.5873
127.006,118.25,-11.5698
127.372,117.356,-11.5347
127.591,116.793,-11.5129
127.925,115.886,-11.478
128.084,115.43,-11.4607
128.389,114.512,-11.4264
128.57,113.934,-11.4053
128.845,112.995,-11.3734
128.976,112.524,-11.3576
129.224,111.579,-11.3262
129.371,110.986,-11.3069
129.591,110.035,-11.2763
129.694,109.558,-11.2613
129.89,108.601,-11.232
130.003,108,-11.214
130.169,107.032,-11.1856
130.246,106.547,-11.1716
130.39,105.576,-11.1443
130.473,104.969,-11.1275
130.595,103.996,-11.1017
130.65,103.509,-11.0892
130.752,102.534,-11.0649
130.809,101.923,-11.0504
130.888,100.936,-11.0285
130.923,100.443,-11.0177
130.985,99.4575,-10.9965
131.018,98.8419,-10.9839
131.063,97.8572,-10.9643
131.082,97.3651,-10.9549
131.113,96.3811,-10.9368
131.126,95.7652,-10.926
131.138,94.7736,-10.9092
131.141,94.2784,-10.9011
131.14,93.2892,-10.8855
131.136,92.6716,-10.8764
131.124,91.6845,-10.8625
131.115,91.1913,-10.8559
131.093,90.2056,-10.8436
131.075,89.589,-10.8366
131.039,88.5981,-10.8282
131.02,88.1033,-10.8243
130.976,87.1149,-10.8166
130.946,86.4979,-10.812
130.894,85.5119,-10.8049
130.867,85.0194,-10.8014
130.808,84.0352,-10.7951
130.769,83.42,-10.7917
130.7,82.4336,-10.7891
130.656,81.8179,-10.7874
130.591,80.9568,-10.785
130.544,80.3423,-10.7832
130.466,79.36,-10.78
130.426,78.8692,-10.7783
130.345,77.8884,-10.7751
130.292,77.2754,-10.7738
130.201,76.2935,-10.7754
130.155,75.803,-10.776
130.063,74.8228,-10.7767
130.005,74.2106,-10.7769
129.91,73.2317,-10.7768
129.863,72.7426,-10.7766
129.767,71.7647,-10.7759
129.706,71.1532,-10.7757
129.604,70.1723,-10.7769
129.553,69.6823,-10.7773
129.451,68.7031,-10.7777
129.387,68.0915,-10.7778
129.286,67.1135,-10.7776
129.235,66.6247,-10.7774
129.134,65.6476,-10.7766
129.07,65.0366,-10.7761
128.963,64.0562,-10.7761
128.91,63.5664,-10.7759
128.805,62.5875,-10.7754
128.74,61.976,-10.775
128.637,60.9981,-10.774
128.585,60.5093,-10.7735
128.484,59.5319,-10.7721
128.42,58.9211,-10.7711
128.317,57.9444,-10.7714
128.265,57.456,-10.7713
128.164,56.4795,-10.7708
128.101,55.8691,-10.7703
128.001,54.8926,-10.769
127.952,54.4042,-10.7683
127.855,53.4275,-10.7667
127.794,52.8169,-10.7661
127.696,51.8389,-10.7674
127.648,51.35,-10.7677
127.553,50.3722,-10.7676
127.494,49.7611,-10.7673
127.402,48.7835,-10.7664
127.356,48.2946,-10.7659
127.265,47.3168,-10.7646
127.209,46.7054,-10.7642
127.12,45.7254,-10.7657
127.076,45.2356,-10.7663
126.989,44.2561,-10.767
126.936,43.644,-10.7673
126.851,42.6647,-10.7671
126.809,42.1751,-10.7668
126.727,41.1958,-10.7659
126.676,40.5834,-10.7656
126.598,39.6018,-10.767
126.56,39.1111,-10.7674
126.483,38.1301,-10.7676
126.436,37.5171,-10.7674
126.362,36.5363,-10.7669
126.325,36.046,-10.7665
126.253,35.0654,-10.7654
126.208,34.4524,-10.7648
126.138,33.471,-10.7651
