x,y,z
0.025355,0.0239857,0.115298
0.025545,0.0243613,0.116908
0.0257355,0.0247022,0.117791
0.0264021,0.0258556,0.120303
0.0248078,0.0249903,0.119094
0.0222389,0.0239053,0.117568
0.0212205,0.0236405,0.117159
0.0195335,0.0235058,0.117231
0.0189967,0.0236823,0.117601
0.0182221,0.0243196,0.118794
0.0179921,0.0247541,0.119609
0.0174386,0.0257863,0.121278
0.0162481,0.0253661,0.119807
0.0143011,0.0250485,0.117778
0.0135688,0.0251158,0.117203
0.0123554,0.0256953,0.11701
0.0119789,0.0261489,0.117365
0.0115235,0.0274066,0.118735
0.0114256,0.0281995,0.119708
0.0111214,0.029886,0.121609
0.0101655,0.0294551,0.120457
0.00860876,0.0290742,0.11934
0.00796615,0.029107,0.119187
0.00689458,0.0296858,0.119802
0.00659471,0.0301491,0.120474
0.0062473,0.0315093,0.122321
0.00621769,0.0324052,0.123371
0.00629271,0.0343624,0.125509
0.0059062,0.0338585,0.124155
0.00549358,0.0335411,0.12244
0.00543747,0.0336544,0.122025
0.0055863,0.0344894,0.122086
0.00574281,0.035098,0.122484
0.0062039,0.0366717,0.123737
0.00652553,0.0376336,0.124582
0.00721718,0.0397035,0.126427
0.00696983,0.0389697,0.124934
0.00676923,0.0382167,0.123139
0.00680486,0.0381417,0.12276
0.00731061,0.038694,0.12281
0.00770105,0.0392328,0.123214
0.00870177,0.040802,0.124636
0.00928917,0.0418029,0.125687
0.0107513,0.0444513,0.128348
0.010361,0.0435075,0.127171
0.00991342,0.0424205,0.125949
0.00984502,0.0422494,0.1258
0.0099695,0.0427007,0.126364
0.0101458,0.0432175,0.126971
0.0106283,0.0446457,0.128809
0.0109576,0.0455796,0.129945
0.0118718,0.0481263,0.132799
0.0113784,0.0467083,0.130973
0.0107734,0.0447768,0.128417
0.0106035,0.0442077,0.127635
0.0104314,0.0438148,0.127168
0.0104999,0.0439741,0.127478
0.0108585,0.044815,0.128598
0.0111566,0.0454785,0.129412
0.0121223,0.0473729,0.131651
0.0106005,0.0458208,0.130108
0.00813756,0.0437088,0.128121
0.00718258,0.0431128,0.127603
0.00561648,0.0426349,0.127569
0.00513416,0.0427406,0.127911
0.00461217,0.0435566,0.129274
0.00451052,0.0444173,0.130448
0.00468022,0.0462642,0.132724
0.00407091,0.0440517,0.130917
0.00324676,0.0407868,0.128588
0.0030167,0.0396481,0.127886
0.00284731,0.0381017,0.127303
0.00288954,0.0378201,0.127398
0.00319411,0.0378485,0.128186
0.00341507,0.0381368,0.128845
0.00391183,0.0388828,0.130232
0.00349134,0.0380148,0.129173
0.00296681,0.0370516,0.12801
0.00284339,0.0368739,0.127877
0.00281905,0.0370859,0.128401
0.00289943,0.0374398,0.128978
0.00326523,0.0385093,0.130626
0.0035404,0.0392178,0.131736
0.00433803,0.0405263,0.13403
0.00469477,0.0389419,0.133159
0.00552258,0.0366551,0.132407
0.00597905,0.0358897,0.132407
0.00707238,0.0348803,0.133338
0.00757974,0.0346968,0.134081
0.00872835,0.034749,0.136067
0.00934115,0.0349577,0.137283
0.010466,0.0354915,0.140015
0.0103156,0.0346977,0.139461
0.0102616,0.0337444,0.139253
0.0103373,0.033527,0.139547
0.0106175,0.0336117,0.14089
0.0108157,0.0338251,0.141712
0.0113357,0.0346094,0.143683
0.0116577,0.0351441,0.144912
0.0123459,0.0360831,0.147191
0.0123205,0.0349089,0.146053
0.012449,0.0331673,0.144634
0.0126456,0.0324159,0.14432
0.0130919,0.0316846,0.144709
0.0133673,0.0315138,0.145276
0.0140457,0.0315688,0.1468
0.0144122,0.031738,0.147647
0.0151264,0.0321707,0.148945
0.0146574,0.0315179,0.146318
0.0140074,0.0306525,0.142335
0.0138109,0.0304118,0.140868
0.0135536,0.0302506,0.138879
0.0135227,0.0303077,0.138443
0.0135838,0.0306294,0.13836
0.0136766,0.0309233,0.138688
0.0140561,0.0318618,0.140026
0.0132137,0.0310186,0.137897
0.0117749,0.029779,0.134874
0.0111725,0.0293752,0.13383
0.0100946,0.0289455,0.132543
0.0097789,0.0289596,0.132384
0.00935448,0.0292295,0.132722
0.00918383,0.0294739,0.133157
0.00873095,0.0298871,0.133991
0.0079474,0.0290338,0.132127
0.00667749,0.0277998,0.129658
0.00616944,0.0273857,0.128973
0.00527425,0.0269778,0.128432
0.00499355,0.0269855,0.128546
0.00456015,0.0272183,0.129417
0.00441752,0.0274472,0.130077
0.00433825,0.0278712,0.131163
0.00469367,0.0270696,0.129336
0.0054166,0.0259048,0.126763
0.00583003,0.0255245,0.125914
0.00682681,0.0251006,0.124774
0.00727439,0.0250382,0.124638
0.00815298,0.0251211,0.12482
0.00859292,0.0252429,0.125038
0.0098784,0.0254095,0.125272
0.0109394,0.0247188,0.123575
0.0129487,0.0237967,0.121307
0.0139091,0.0235293,0.120589
0.0160345,0.0233227,0.119773
0.016967,0.0233628,0.119723
0.0188025,0.0237409,0.1201
0.0197039,0.0240474,0.12051
0.0216649,0.0246116,0.121275
0.0222658,0.0239716,0.120074
0.0235429,0.0231356,0.118471
0.0242447,0.0228981,0.11803
0.0260063,0.0227858,0.117609
0.02686,0.0229003,0.117632
0.0286535,0.0233597,0.118002
0.0295516,0.0236831,0.118294
0.0311133,0.0241793,0.11882
0.0303034,0.0231159,0.117347
0.0291498,0.0214284,0.11504
0.0287848,0.0208073,0.114074
0.0283981,0.019831,0.112462
0.0283794,0.0195758,0.111977
0.0285567,0.0192974,0.111566
0.0287529,0.0192732,0.111455
0.0291135,0.0191685,0.111279
0.0285736,0.0183403,0.109822
0.0278135,0.0169862,0.107579
0.0276129,0.016459,0.106716
0.0275918,0.0156024,0.105379
0.0277479,0.0153648,0.104938
0.0283712,0.0151385,0.104363
