t,north,east,down,vel,roll,pitch,speed,throttle
0.63,4.01859,156.055,-11.5427,19.3407,-2.94595,14.2114,19.8454,0.006
0.64,4.0409,156.834,-11.7756,19.3424,-2.92239,14.222,19.8454,0.006
0.65,4.0591,157.458,-11.9628,19.3437,-2.89515,14.2339,19.8454,0.006
0.66,4.0591,157.458,-11.9628,19.3437,-2.87566,14.2437,19.8454,0.006
0.67,4.07762,158.08,-12.1504,19.3442,-2.84412,14.2561,19.8095,0.006
0.68,4.07762,158.08,-12.1504,19.3442,-2.82601,14.2608,19.8095,0.006
0.69,4.0968,158.708,-12.3308,19.3516,-2.81146,14.2621,19.8095,0.006
0.7,4.0968,158.708,-12.3308,19.3516,-2.79259,14.264,19.8095,0.006
0.71,4.11628,159.336,-12.5124,19.3579,-2.76746,14.2687,19.8095,0.006
0.72,4.13604,159.963,-12.6951,19.3623,-2.74521,14.276,19.8095,0.006
0.73,4.13604,159.963,-12.6951,19.3623,-2.72256,14.2869,19.8357,0.006
0.74,4.16114,160.745,-12.9251,19.3652,-2.69682,14.2971,19.8357,0.006
0.75,4.16114,160.745,-12.9251,19.3652,-2.66847,14.3071,19.8357,0.006
0.76,4.18151,161.37,-13.1102,19.3675,-2.64077,14.3153,19.8357,0.006
0.77,4.20216,161.995,-13.2961,19.3695,-2.61532,14.327,19.8357,0.006
0.78,4.20216,161.995,-13.2961,19.3695,-2.58515,14.3344,19.8284,0.006
0.79,4.22306,162.618,-13.4829,19.371,-2.55139,14.3395,19.8284,0.006
0.8,4.22306,162.618,-13.4829,19.371,-2.53519,14.3473,19.8284,0.006
0.81,4.24417,163.242,-13.6704,19.3736,-2.5093,14.358,19.8284,0.006
0.82,4.24417,163.242,-13.6704,19.3736,-2.48488,14.3659,19.8284,0.006
0.83,4.26552,163.865,-13.8585,19.3748,-2.45674,14.3715,19.8284,0.006
0.84,4.2925,164.643,-14.0946,19.3768,-2.42842,14.3813,19.8284,0.006
0.85,4.2925,164.643,-14.0946,19.3768,-2.40641,14.3901,19.8284,0.006
0.86,4.31435,165.264,-14.2841,19.3772,-2.37623,14.3987,19.8284,0.006
0.87,4.31435,165.264,-14.2841,19.3772,-2.35385,14.412,19.8284,0.006
0.88,4.337,165.888,-14.4721,19.3763,-2.33658,14.4169,19.8686,0.006
