u0_opt,u1_opt,u2_opt
5.0488e-06,0.0878613,1.67192
5.60311e-06,0.0913519,1.61284
6.29149e-06,0.0948426,1.56626
7.16844e-06,0.0983333,1.52979
8.32249e-06,0.101824,1.50141
9.9078e-06,0.105315,1.4795
1.22191e-05,0.108805,1.46273
1.59002e-05,0.112296,1.45009
2.26922e-05,0.115787,1.44081
3.97228e-05,0.119277,1.43432
0.377846,0.119294,1.4302
0.5,0.119302,1.4282
6.54672e-08,0.176725,0.349066
7.25739e-08,0.173234,0.349066
7.97058e-08,0.169743,0.349066
8.77117e-08,0.166253,0.349066
9.74132e-08,0.162762,0.349066
1.09798e-07,0.159271,0.349066
1.26376e-07,0.155781,0.349066
1.49869e-07,0.15229,0.349066
1.86036e-07,0.148799,0.349066
2.50025e-07,0.145309,0.349066
4.02275e-07,0.141818,0.349066
0.78784,0.138327,0.349066
1,0.134837,0.349066
1,0.131346,0.349066
1,0.127855,0.349066
1,0.124365,0.37069
1,0.120874,0.412491
1,0.117383,0.468762
0.803,0.113893,0.53482
3.72502e-07,0.110402,0.605715
2.43228e-07,0.106911,0.68245
1.87271e-07,0.103421,0.776111
0.0536994,0.0999299,0.886276
0.103778,0.0964392,1.01349
0.130329,0.0929485,1.1583
0.147248,0.0894578,1.31968
0.158579,0.0859672,1.49519
0.166347,0.0824765,1.68112
0.171753,0.0789858,1.87297
0.175564,0.0754952,2.0662
2.82379e-06,0.0720045,2.25707
2.99187e-06,0.0685138,2.44346
3.17848e-06,0.0720045,2.25036
3.39013e-06,0.0754952,2.08794
3.63212e-06,0.0789858,1.95148
3.91129e-06,0.0824765,1.83836
4.2367e-06,0.0859672,1.74601
4.62055e-06,0.0894578,1.67167
5.07978e-06,0.0929485,1.61249
5.63851e-06,0.0964392,1.56576
6.33236e-06,0.0999299,1.52912
7.21625e-06,0.103421,1.50052
8.37941e-06,0.106911,1.47833
9.97725e-06,0.110402,1.4612
1.23068e-05,0.113893,1.44812
1.60172e-05,0.117383,1.43826
2.28633e-05,0.120874,1.43102
4.00301e-05,0.124365,1.42595
0.382919,0.124381,1.42274
0.5,0.124389,1.42118
7.07702e-08,0.173668,0.349066
7.88103e-08,0.170177,0.349066
8.70017e-08,0.166686,0.349066
9.64106e-08,0.163196,0.349066
1.08125e-07,0.159705,0.349066
1.23592e-07,0.156214,0.349066
1.4528e-07,0.152724,0.349066
1.78294e-07,0.149233,0.349066
2.35892e-07,0.145742,0.349066
3.7043e-07,0.142252,0.349066
0.546777,0.138761,0.349066
1,0.13527,0.349066
1,0.13178,0.349066
1,0.128289,0.349066
1,0.124798,0.349066
1,0.121308,0.374115
1,0.117817,0.41785
1,0.114326,0.474787
0.585413,0.110836,0.540192
3.42513e-07,0.107345,0.608957
2.26522e-07,0.103854,0.68821
1.76556e-07,0.100364,0.783885
0.0823417,0.0968731,0.895706
0.117801,0.0933824,1.02497
0.139116,0.0898917,1.17177
0.15311,0.086401,1.33473
0.162608,0.0829104,1.51106
0.169172,0.0794197,1.69673
0.17377,0.075929,1.88699
0.177032,0.0724384,2.07714
2.82921e-06,0.0689477,2.26336
2.99776e-06,0.065457,2.44346
3.1848e-06,0.0689477,2.25036
3.3969e-06,0.0724384,2.08794
3.63936e-06,0.075929,1.95148
3.91905e-06,0.0794197,1.83836
4.24502e-06,0.0829104,1.74601
4.62952e-06,0.086401,1.67167
5.08949e-06,0.0898917,1.61249
5.64909e-06,0.0933824,1.56576
6.34401e-06,0.0968731,1.52912
7.22922e-06,0.100364,1.50052
8.39409e-06,0.103854,1.47833
9.99422e-06,0.107345,1.4612
1.23271e-05,0.110836,1.44812
1.60426e-05,0.114326,1.43826
2.2898e-05,0.117817,1.43102
4.00878e-05,0.121308,1.42595
0.382911,0.121324,1.42274
0.5,0.121332,1.42118
7.59929e-08,0.171276,0.349066
8.50222e-08,0.167786,0.349066
9.43489e-08,0.164295,0.349066
1.053e-07,0.160804,0.349066
1.19309e-07,0.157314,0.349066
1.38468e-07,0.153823,0.349066
1.66751e-07,0.150332,0.349066
2.13636e-07,0.146842,0.349066
3.10667e-07,0.143351,0.349066
7.24195e-07,0.13986,0.349066
1,0.13637,0.349066
1,0.132879,0.349066
1,0.129388,0.349066
1,0.125898,0.349066
1,0.122407,0.351327
1,0.118916,0.378953
1,0.115426,0.423991
1,0.111935,0.481045
0.211933,0.108444,0.545272
3.23803e-07,0.104954,0.611394
2.1577e-07,0.101463,0.692974
0.0488696,0.0979724,0.790425
0.101701,0.0944817,0.903627
0.129051,0.0909911,1.03452
0.14643,0.0875004,1.18285
0.158061,0.0840097,1.34699
0.166032,0.0805191,1.52386
0.17158,0.0770284,1.7092
0.17549,0.0735377,1.8981
0.178281,0.0700471,2.08575
2.8335e-06,0.0665564,2.26827
3.00242e-06,0.0630657,2.44346
3.1898e-06,0.0665564,2.25036
3.40225e-06,0.0700471,2.08794
3.64508e-06,0.0735377,1.95148
3.92517e-06,0.0770284,1.83836
4.25159e-06,0.0805191,1.74601
4.63659e-06,0.0840097,1.67167
5.09715e-06,0.0875004,1.61249
5.65744e-06,0.0909911,1.56576
6.35319e-06,0.0944817,1.52912
7.23944e-06,0.0979724,1.50052
8.40564e-06,0.101463,1.47833
1.00076e-05,0.104954,1.4612
1.2343e-05,0.108444,1.44812
1.60624e-05,0.111935,1.43826
2.29251e-05,0.115426,1.43102
4.01327e-05,0.118916,1.42595
0.382914,0.118933,1.42274
0.5,0.118941,1.42118
8.3491e-08,0.170195,0.349066
9.39811e-08,0.166704,0.349066
1.04994e-07,0.163213,0.349066
1.18254e-07,0.159723,0.349066
1.35759e-07,0.156232,0.349066
1.60729e-07,0.152741,0.349066
1.99973e-07,0.149251,0.349066
2.72224e-07,0.14576,0.349066
4.57828e-07,0.142269,0.349066
0.770738,0.138779,0.349066
1,0.135288,0.349066
1,0.131797,0.349066
1,0.128307,0.349066
1,0.124816,0.349066
1,0.121325,0.356019
1,0.117835,0.386703
1,0.114344,0.433727
0.9266,0.110853,0.491845
3.34551e-07,0.107363,0.556155
2.2086e-07,0.103872,0.623614
1.72116e-07,0.100381,0.707204
0.0723348,0.0968907,0.806468
0.112445,0.0934001,0.922618
0.135713,0.0899094,1.05638
0.150843,0.0864187,1.20713
0.161067,0.0829281,1.37279
0.168114,0.0794374,1.54989
0.17304,0.0759467,1.73383
0.176526,0.0724561,1.91947
0.179027,0.0689654,2.10191
2.83951e-06,0.0654747,2.2773
3.00886e-06,0.0619841,2.44346
3.1967e-06,0.0654747,2.25036
3.40965e-06,0.0689654,2.08794
3.65303e-06,0.0724561,1.95148
3.93376e-06,0.0759467,1.83836
4.26091e-06,0.0794374,1.74601
4.64677e-06,0.0829281,1.67167
5.10834e-06,0.0864187,1.61249
5.66987e-06,0.0899094,1.56576
6.36715e-06,0.0934001,1.52912
7.25534e-06,0.0968907,1.50052
8.42408e-06,0.100381,1.47833
1.00295e-05,0.103872,1.4612
1.237e-05,0.107363,1.44812
1.60976e-05,0.110853,1.43826
2.29752e-05,0.114344,1.43102
4.02205e-05,0.117835,1.42595
0.382932,0.117851,1.42274
0.5,0.11786,1.42118
8.45084e-08,0.167605,0.349066
9.51876e-08,0.164114,0.349066
1.06326e-07,0.160624,0.349066
1.19746e-07,0.157133,0.349066
1.37492e-07,0.153642,0.349066
1.62846e-07,0.150152,0.349066
2.02787e-07,0.146661,0.349066
2.7666e-07,0.14317,0.349066
4.6856e-07,0.13968,0.349066
0.928024,0.136189,0.349066
1,0.132698,0.349066
1,0.129208,0.349066
1,0.125717,0.349066
1,0.122226,0.349066
1,0.118736,0.366178
1,0.115245,0.406347
1,0.111754,0.463058
1,0.108264,0.531342
4.40521e-07,0.104773,0.606151
2.5838e-07,0.101282,0.681603
1.94802e-07,0.0977917,0.775177
0.0594345,0.094301,0.886104
0.106037,0.0908104,1.01467
0.1317,0.0873197,1.16115
0.148215,0.083829,1.32428
0.159332,0.0803384,1.50131
0.166979,0.0768477,1.68822
0.172315,0.073357,1.88021
0.176085,0.0698664,2.07245
2.70284e-06,0.0663757,2.26098
2.85553e-06,0.062885,2.44346
3.02365e-06,0.0663757,2.25036
3.21291e-06,0.0698664,2.08793
3.42752e-06,0.073357,1.95145
3.67284e-06,0.0768477,1.8383
3.95578e-06,0.0803384,1.74591
4.28552e-06,0.083829,1.67152
4.6744e-06,0.0873197,1.61227
5.13957e-06,0.0908104,1.56546
5.70545e-06,0.094301,1.52871
6.40811e-06,0.0977917,1.49998
7.30312e-06,0.101282,1.47762
8.48084e-06,0.104773,1.46028
1.00986e-05,0.108264,1.44691
1.24571e-05,0.111754,1.4367
1.62134e-05,0.115245,1.42901
2.31442e-05,0.118736,1.42336
4.05231e-05,0.122226,1.41941
0.387534,0.122243,1.41691
0.5,0.122252,1.41569
5.21065e-08,0.180076,0.349066
5.70111e-08,0.176585,0.349066
6.19369e-08,0.173094,0.349066
6.73082e-08,0.169604,0.349066
7.35414e-08,0.166113,0.349066
8.10919e-08,0.162622,0.349066
9.05563e-08,0.159132,0.349066
1.02833e-07,0.155641,0.349066
1.19427e-07,0.15215,0.349066
1.43146e-07,0.14866,0.349066
1.79998e-07,0.145169,0.349066
2.45894e-07,0.141678,0.349066
4.04576e-07,0.138188,0.349066
0.69562,0.134697,0.349066
1,0.131206,0.349066
1,0.127716,0.349066
1,0.124225,0.367564
1,0.120734,0.403209
1,0.117244,0.450552
0.53094,0.113753,0.50511
3.56705e-07,0.110262,0.562262
2.30281e-07,0.106772,0.629243
0.0351913,0.103281,0.710326
0.0972528,0.0997902,0.806289
0.126412,0.0962995,0.918961
0.144652,0.0928089,1.04908
0.156774,0.0893182,1.19623
0.165045,0.0858275,1.35872
0.170783,0.0823369,1.53351
0.174816,0.0788462,1.71648
0.177687,0.0753555,1.90294
0.179763,0.0718649,2.08835
3.13459e-06,0.0683742,2.26917
3.34475e-06,0.0648835,2.44346
3.58203e-06,0.0683742,2.25038
3.85571e-06,0.0718649,2.08801
4.17469e-06,0.0753555,1.95163
4.55098e-06,0.0788462,1.83863
5.00118e-06,0.0823369,1.74645
5.54895e-06,0.0858275,1.67233
6.22924e-06,0.0893182,1.61343
7.09587e-06,0.0928089,1.56707
8.23631e-06,0.0962995,1.53088
9.80288e-06,0.0997902,1.50287
1.20867e-05,0.103281,1.48142
1.57239e-05,0.106772,1.46524
2.24343e-05,0.110262,1.45335
3.92593e-05,0.113753,1.44502
0.372105,0.11377,1.43974
0.5,0.113777,1.43718
5.73032e-08,0.175965,0.349066
6.29119e-08,0.172474,0.349066
6.86086e-08,0.168984,0.349066
7.49306e-08,0.165493,0.349066
8.24145e-08,0.162002,0.349066
9.16837e-08,0.158512,0.349066
1.03616e-07,0.155021,0.349066
1.19638e-07,0.15153,0.349066
1.4237e-07,0.14804,0.349066
1.77357e-07,0.144549,0.349066
2.39101e-07,0.141058,0.349066
3.84999e-07,0.137568,0.349066
0.347757,0.134077,0.349066
1,0.130586,0.349066
1,0.127096,0.349066
1,0.123605,0.349066
1,0.120114,0.37193
1,0.116624,0.410347
0.993912,0.113133,0.459165
3.68156e-07,0.109642,0.51387
2.34892e-07,0.106152,0.569849
1.78102e-07,0.102661,0.639943
0.0747351,0.0991703,0.723831
0.11376,0.0956796,0.823302
0.136538,0.0921889,0.939754
0.151361,0.0886983,1.07354
0.161376,0.0852076,1.22382
0.168278,0.0817169,1.38839
0.173101,0.0782263,1.56374
0.176514,0.0747356,1.74532
0.178963,0.0712449,1.92816
0.180749,0.0677542,2.10759
3.14411e-06,0.0642636,2.28
3.35509e-06,0.0607729,2.44346
3.59317e-06,0.0642636,2.25038
3.8677e-06,0.0677542,2.08801
4.18761e-06,0.0712449,1.95163
4.56495e-06,0.0747356,1.83863
5.01635e-06,0.0782263,1.74645
5.56555e-06,0.0817169,1.67233
6.24756e-06,0.0852076,1.61343
7.11632e-06,0.0886983,1.56707
8.25951e-06,0.0921889,1.53088
9.82977e-06,0.0956796,1.50287
1.21189e-05,0.0991703,1.48142
1.57643e-05,0.102661,1.46524
2.24897e-05,0.106152,1.45335
3.93515e-05,0.109642,1.44502
0.371991,0.109659,1.43974
0.5,0.109667,1.43718
5.8447e-08,0.173959,0.349066
6.42353e-08,0.170469,0.349066
7.00698e-08,0.166978,0.349066
7.65376e-08,0.163487,0.349066
8.42037e-08,0.159997,0.349066
9.3713e-08,0.156506,0.349066
1.05971e-07,0.153015,0.349066
1.22453e-07,0.149525,0.349066
1.45873e-07,0.146034,0.349066
1.81994e-07,0.142543,0.349066
2.45949e-07,0.139053,0.349066
3.97878e-07,0.135562,0.349066
0.675435,0.132071,0.349066
1,0.128581,0.349066
1,0.12509,0.349066
1,0.121599,0.358447
1,0.118109,0.389701
1,0.114618,0.436142
1,0.111127,0.492943
4.74127e-07,0.107637,0.555519
2.70331e-07,0.104146,0.618734
1.98693e-07,0.100655,0.697689
0.0700338,0.0971645,0.791963
0.111278,0.0936738,0.902865
0.134978,0.0901832,1.03146
0.150352,0.0866925,1.1776
0.160729,0.0832018,1.3398
0.167876,0.0797112,1.51522
0.172869,0.0762205,1.69988
0.176401,0.0727298,1.8891
0.178933,0.0692391,2.0783
2.97343e-06,0.0657485,2.26377
