z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.3,10,43,9.79567e-06,0.108069,1.50287,1.79673,1.8899,6.51126,0.00862047,6.51101,0.0561294,1.86677,1.49608,0.0994486
1.3,10,44,1.20806e-05,0.11156,1.48142,1.92695,1.89102,6.56356,0.0134693,6.56297,0.0884038,2.00679,1.49907,0.0980904
1.3,10,45,1.57199e-05,0.11505,1.46524,2.05821,1.89279,6.61568,0.0183744,6.61457,0.121552,2.14574,1.50249,0.096676
1.3,10,46,2.24351e-05,0.118541,1.45335,2.1905,1.89522,6.66755,0.0233064,6.66574,0.155382,2.28403,1.50631,0.0952347
1.3,10,47,3.92735e-05,0.122032,1.44502,2.32382,1.89833,6.71913,0.0282447,6.71645,0.189755,2.42193,1.51055,0.093787
1.3,10,48,0.372408,0.122048,1.43974,2.45815,1.90213,6.7704,0.0331751,6.76668,0.224567,2.55831,1.51487,0.0888725
1.3,10,49,0.5,0.122055,1.43718,2.59348,1.90662,6.6787,0.0403308,6.67327,0.269284,2.69464,1.51962,0.0817243
1.3,10.25,0,5.49023e-08,0.186517,0.349066,-5,1.3,10.25,1.13856e-44,10.25,1.61894e-43,-4.60527,1.23527,0.186517
1.3,10.25,1,6.04668e-08,0.183026,0.349066,-4.795,1.3,10.6796,0.0758783,10.6489,0.809571,-4.4005,1.23389,0.107148
1.3,10.25,2,6.60171e-08,0.179536,0.349066,-4.58202,1.31619,10.8817,0.116995,10.8074,1.27021,-4.18776,1.2487,0.0625408
1.3,10.25,3,7.20822e-08,0.176045,0.349066,-4.36588,1.3416,10.9826,0.137203,10.8794,1.50211,-3.97185,1.27273,0.0388424
1.3,10.25,4,7.91881e-08,0.172554,0.349066,-4.14829,1.37164,11.04,0.145863,10.9228,1.60463,-3.7545,1.3014,0.026691
1.3,10.25,5,8.79228e-08,0.169064,0.349066,-3.92983,1.40373,11.0786,0.148498,10.9566,1.63911,-3.5363,1.33212,0.0205655
1.3,10.25,6,9.90887e-08,0.165573,0.349066,-3.7107,1.43651,11.1086,0.14809,10.9871,1.63907,-3.31742,1.36353,0.0174833
1.3,10.25,7,1.13961e-07,0.162082,0.349066,-3.49096,1.46929,11.1349,0.146172,11.0161,1.62182,-3.09793,1.39494,0.0159103
1.3,10.25,8,1.34827e-07,0.158592,0.349066,-3.27064,1.50173,11.1594,0.143514,11.0447,1.59605,-2.87787,1.426,0.0150773
1.3,10.25,9,1.66356e-07,0.155101,0.349066,-3.04974,1.53365,11.1832,0.140496,11.0731,1.56604,-2.65724,1.45655,0.0146049
1.3,10.25,10,2.19961e-07,0.15161,0.349066,-2.82828,1.56497,11.2068,0.137303,11.1013,1.5339,-2.43605,1.4865,0.014307
1.3,10.25,11,3.33279e-07,0.14812,0.349066,-2.60625,1.59565,11.2304,0.134026,11.1296,1.50066,-2.2143,1.51581,0.0140934
1.3,10.25,12,7.56556e-07,0.144629,0.349066,-2.38366,1.62566,11.254,0.130709,11.158,1.46681,-1.99199,1.54446,0.0139201
1.3,10.25,13,0.981197,0.141138,0.349066,-2.1605,1.655,11.2777,0.127372,11.1864,1.43259,-1.76912,1.57243,0.0137662
1.3,10.25,14,1,0.137648,0.349066,-1.93677,1.68365,10.5914,0.142284,10.4843,1.5019,-1.54568,1.59971,-0.00463656
1.3,10.25,15,1,0.134157,0.35272,-1.72709,1.71369,9.83667,0.144466,9.7342,1.41612,-1.3366,1.62696,-0.0103087
1.3,10.25,16,1,0.130666,0.380414,-1.5324,1.74201,9.03438,0.14811,8.93546,1.3332,-1.14481,1.64315,-0.0174441
1.3,10.25,17,1,0.127176,0.425021,-1.35369,1.76868,8.18211,0.153766,8.08557,1.25318,-0.971305,1.65129,-0.0265907
1.3,10.25,18,1,0.123685,0.481728,-1.19198,1.79374,7.27757,0.16232,7.18191,1.17611,-0.817349,1.65356,-0.0386349
1.3,10.25,19,0.530234,0.120194,0.546177,-1.04834,1.81726,6.31869,0.175304,6.22185,1.10203,-0.684091,1.65197,-0.0551096
1.3,10.25,20,3.56838e-07,0.116704,0.613515,-0.923907,1.8393,6.02133,0.156921,5.94735,0.940999,-0.572264,1.64865,-0.0402171
1.3,10.25,21,2.32556e-07,0.113213,0.691862,-0.80496,1.85812,6.00888,0.124269,5.96254,0.744799,-0.470079,1.63936,-0.0110564
1.3,10.25,22,1.78828e-07,0.109722,0.785953,-0.685709,1.87302,6.00278,0.0915184,5.97766,0.548599,-0.373734,1.62267,0.0182038
1.3,10.25,23,0.0789651,0.106232,0.895654,-0.566156,1.88399,6,0.0677017,5.98625,0.4059,-0.284454,1.60001,0.0385298
1.3,10.25,24,0.116162,0.102741,1.02252,-0.446431,1.89211,6,0.0498569,5.99254,0.299017,-0.204031,1.57392,0.052884
1.3,10.25,25,0.13803,0.0992502,1.16683,-0.32658,1.89809,6,0.036297,5.99605,0.217734,-0.13368,1.54767,0.0629533
1.3,10.25,26,0.152252,0.0957596,1.32747,-0.206659,1.90244,6,0.025737,5.99801,0.154405,-0.0736079,1.52522,0.0700226
1.3,10.25,27,0.161847,0.0922689,1.50195,-0.0866989,1.90553,6,0.0172766,5.9991,0.103654,-0.0225303,1.51071,0.0749923
1.3,10.25,28,0.16845,0.0887782,1.68659,0.0332832,1.9076,6,0.0102853,5.99968,0.0617105,0.0224797,1.50775,0.078493
1.3,10.25,29,0.17306,0.0852876,1.87698,0.153277,1.90884,6,0.00432189,5.99994,0.0259313,0.065636,1.51856,0.0809657
1.3,10.25,30,0.17632,0.0817969,2.06871,0.273276,1.90936,6,-0.000922107,6,-0.00553264,0.111592,1.54349,0.082719
1.3,10.25,31,2.9361e-06,0.0783062,2.25819,0.393276,1.90925,6,-0.00566255,5.9999,-0.0339751,0.164427,1.58118,0.0839688
1.3,10.25,32,3.12093e-06,0.0748155,2.44346,0.513274,1.90857,6.03379,-0.0104333,6.03346,-0.062951,0.226931,1.62927,0.0852488
