u0_opt,u1_opt,u2_opt,x,z,vel
0.000283924,0.0672809,2.44346,3.7022,10.7369,9.89864
0.000371555,0.0664082,2.44346,3.80081,10.7455,9.91038
0.000532439,0.0655357,2.44346,3.89955,10.7541,9.92213
0.000933818,0.0646634,2.44346,3.99841,10.7625,9.93387
0.247814,0.0646709,2.44346,4.09739,10.7709,9.94562
0.25,0.0646751,2.44346,4.1965,10.7793,9.93228
5.07239e-06,0.133654,0.592556,-5,9.75,8.75
5.09511e-06,0.132782,0.349066,-4.9125,9.75,8.80005
5.13495e-06,0.133654,0.349066,-4.82453,9.75247,8.84788
5.18331e-06,0.134527,0.349066,-4.73617,9.75693,8.89272
5.23983e-06,0.1354,0.349066,-4.64745,9.76301,8.93407
5.30428e-06,0.136272,0.349066,-4.55842,9.77043,8.9719
5.3766e-06,0.137145,0.349066,-4.4691,9.77896,9.00644
5.45678e-06,0.138018,0.349066,-4.37954,9.78839,9.03801
5.5449e-06,0.13889,0.349066,-4.28973,9.79858,9.067
5.64101e-06,0.138018,0.349066,-4.19971,9.80941,9.09378
5.74519e-06,0.137145,0.349066,-4.10948,9.82077,9.11782
5.85769e-06,0.136272,0.349066,-4.01907,9.83255,9.13956
5.97878e-06,0.1354,0.349066,-3.92848,9.84465,9.15939
6.10875e-06,0.134527,0.349066,-3.83772,9.857,9.17766
6.24796e-06,0.133654,0.349066,-3.74681,9.86954,9.19464
6.39675e-06,0.132782,0.349066,-3.65574,9.88223,9.21058
6.55551e-06,0.131909,0.349066,-3.56453,9.89502,9.22567
6.72464e-06,0.131036,0.349066,-3.47317,9.90788,9.24008
6.90456e-06,0.130164,0.349066,-3.38168,9.92079,9.25395
7.09571e-06,0.129291,0.349066,-3.29004,9.93372,9.26737
7.29852e-06,0.128418,0.349066,-3.19828,9.94667,9.28044
7.51341e-06,0.127546,0.349066,-3.10638,9.95962,9.29322
7.74081e-06,0.126673,0.349066,-3.01436,9.97255,9.30578
7.98112e-06,0.1258,0.349066,-2.9222,9.98547,9.31816
8.23468e-06,0.124928,0.349066,-2.82991,9.99835,9.3304
8.50179e-06,0.124055,0.349066,-2.7375,10.0112,9.34252
8.78267e-06,0.123182,0.349066,-2.64496,10.024,9.35455
9.07744e-06,0.12231,0.349066,-2.55229,10.0368,9.3665
9.38609e-06,0.121437,0.349066,-2.45949,10.0495,9.3784
9.70846e-06,0.120564,0.349066,-2.36657,10.0622,9.39024
1.00442e-05,0.119692,0.349066,-2.27352,10.0749,9.40206
1.03927e-05,0.118819,0.349066,-2.18035,10.0875,9.41384
1.07533e-05,0.117946,0.349066,-2.08705,10.1,9.4256
1.11248e-05,0.117074,0.349066,-1.99362,10.1125,9.43734
1.1506e-05,0.116201,0.349066,-1.90007,10.1249,9.44906
1.18952e-05,0.115328,0.349066,-1.8064,10.1373,9.46077
1.22908e-05,0.114456,0.349066,-1.7126,10.1496,9.47248
1.26906e-05,0.113583,0.349066,-1.61867,10.1619,9.48417
1.30926e-05,0.11271,0.349066,-1.52462,10.1741,9.49586
1.34948e-05,0.111837,0.349066,-1.43044,10.1863,9.50755
1.38949e-05,0.110965,0.349066,-1.33614,10.1984,9.51923
1.42915e-05,0.110092,0.349066,-1.24172,10.2105,9.5309
1.4683e-05,0.109219,0.349066,-1.14717,10.2225,9.54258
1.50689e-05,0.108347,0.349066,-1.05249,10.2344,9.55425
1.5449e-05,0.107474,0.359196,-0.957692,10.2463,9.56592
1.58241e-05,0.106601,0.397309,-0.862767,10.2581,9.57759
1.61961e-05,0.105729,0.443791,-0.767717,10.2699,9.58926
1.65678e-05,0.104856,0.5014,-0.672542,10.2816,9.60092
1.69432e-05,0.103983,0.574048,-0.577243,10.2933,9.61259
1.73273e-05,0.103111,0.667254,-0.48182,10.3049,9.62426
1.77262e-05,0.102238,0.788532,-0.386271,10.3164,9.63592
1.81465e-05,0.101365,0.946979,-0.290599,10.3279,9.64759
1.85949e-05,0.100493,1.15012,-0.194801,10.3393,9.65925
1.90776e-05,0.09962,1.39558,-0.0988796,10.3507,9.67091
1.96004e-05,0.0987474,1.66172,-0.00283343,10.362,9.68258
2.01706e-05,0.0978747,1.91373,0.0933372,10.3732,9.69424
2.07994e-05,0.097002,2.12608,0.189632,10.3844,9.70591
2.15029e-05,0.0961293,2.29306,0.286052,10.3955,9.71757
2.22467e-05,0.0952567,2.44346,0.382595,10.4066,9.72923
2.30342e-05,0.094384,2.44346,0.479263,10.4176,9.7409
2.38689e-05,0.0935113,2.44346,0.576056,10.4285,9.75256
2.4755e-05,0.0926386,2.44346,0.672972,10.4394,9.76423
2.5697e-05,0.091766,2.44346,0.770013,10.4502,9.77589
2.66999e-05,0.0908933,2.44346,0.867178,10.461,9.78756
2.77695e-05,0.0900206,2.44346,0.964467,10.4717,9.79922
2.89121e-05,0.0891479,2.44346,1.06188,10.4823,9.81089
3.01349e-05,0.0882753,2.44346,1.15942,10.4929,9.82255
3.14461e-05,0.0874026,2.44346,1.25708,10.5034,9.83422
3.28549e-05,0.0865299,2.44346,1.35486,10.5139,9.84589
3.43719e-05,0.0856572,2.44346,1.45277,10.5243,9.85755
3.6009e-05,0.0847846,2.44346,1.55081,10.5346,9.86922
3.77802e-05,0.0839119,2.44346,1.64896,10.5449,9.88089
3.97013e-05,0.0830392,2.44346,1.74724,10.5551,9.89256
4.1791e-05,0.0821665,2.44346,1.84565,10.5652,9.90423
4.40708e-05,0.0812939,2.44346,1.94418,10.5753,9.9159
4.65661e-05,0.0804212,2.44346,2.04283,10.5853,9.92757
4.93068e-05,0.0795485,2.44346,2.14161,10.5952,9.93924
5.23284e-05,0.0786759,2.44346,2.24051,10.6051,9.95091
5.56736e-05,0.0778032,2.44346,2.33953,10.6149,9.96259
5.93936e-05,0.0769305,2.44346,2.43868,10.6247,9.97426
6.35511e-05,0.0760578,2.44346,2.53795,10.6343,9.98594
6.82229e-05,0.0751852,2.44346,2.63735,10.644,9.99761
7.35047e-05,0.0743125,2.44346,2.73686,10.6535,10.0093
7.95169e-05,0.0734398,2.44346,2.83651,10.663,10.021
8.64129e-05,0.0725671,2.44346,2.93627,10.6724,10.0326
9.4392e-05,0.0716945,2.44346,3.03616,10.6818,10.0443
0.000103717,0.0708218,2.44346,3.13617,10.6911,10.056
0.000114742,0.0699491,2.44346,3.23631,10.7003,10.0677
0.000127955,0.0690764,2.44346,3.33657,10.7095,10.0794
0.000144052,0.0682038,2.44346,3.43695,10.7185,10.091
0.000164055,0.0673311,2.44346,3.53746,10.7276,10.1027
0.000189532,0.0664584,2.44346,3.63809,10.7365,10.1144
0.000223027,0.0655858,2.44346,3.73884,10.7454,10.1261
0.000268949,0.0647131,2.44346,3.83972,10.7542,10.1378
0.000335706,0.0638405,2.44346,3.94072,10.763,10.1495
0.000441625,0.0629678,2.44346,4.04184,10.7717,10.1612
0.000636159,0.0620952,2.44346,4.14309,10.7803,10.1729
0.0011214,0.0612229,2.44346,4.24446,10.7888,10.1846
0.247943,0.061231,2.44346,4.34595,10.7973,10.1963
0.25,0.0612357,2.44346,4.44756,10.8057,10.1833
5.21278e-06,0.135452,0.592556,-5,9.75,9
5.24211e-06,0.134579,0.349066,-4.91,9.75,9.05378
5.28555e-06,0.135452,0.349066,-4.8195,9.7527,9.10515
5.33806e-06,0.136325,0.349066,-4.72858,9.75757,9.15312
5.39924e-06,0.137197,0.349066,-4.63729,9.76419,9.19708
5.46885e-06,0.13807,0.349066,-4.54567,9.77224,9.23703
5.54679e-06,0.137755,0.349066,-4.45376,9.78147,9.27324
5.63297e-06,0.136883,0.349066,-4.36159,9.79166,9.30552
5.72747e-06,0.13601,0.349066,-4.26919,9.80262,9.33409
5.83046e-06,0.135137,0.349066,-4.17656,9.81419,9.35951
5.94216e-06,0.134265,0.349066,-4.08375,9.82623,9.3823
6.06285e-06,0.133392,0.349066,-3.99075,9.83864,9.40291
6.19283e-06,0.132519,0.349066,-3.89758,9.85132,9.42174
6.33243e-06,0.131646,0.349066,-3.80425,9.86422,9.43912
6.48202e-06,0.130774,0.349066,-3.71076,9.87727,9.45534
6.64199e-06,0.129901,0.349066,-3.61713,9.89044,9.47061
6.81276e-06,0.129028,0.349066,-3.52336,9.90368,9.48513
6.99477e-06,0.128156,0.349066,-3.42944,9.91698,9.49904
7.18846e-06,0.127283,0.349066,-3.33539,9.93031,9.51248
7.39428e-06,0.12641,0.349066,-3.24121,9.94364,9.52553
7.61269e-06,0.125538,0.349066,-3.14689,9.95698,9.53828
7.84414e-06,0.124665,0.349066,-3.05244,9.9703,9.55079
8.08904e-06,0.123792,0.349066,-2.95786,9.9836,9.5631
8.34777e-06,0.12292,0.349066,-2.86316,9.99687,9.57527
8.62067e-06,0.122047,0.349066,-2.76832,10.0101,9.58731
8.90796e-06,0.121174,0.349066,-2.67336,10.0233,9.59926
9.20979e-06,0.120302,0.349066,-2.57828,10.0365,9.61113
9.52617e-06,0.119429,0.349066,-2.48306,10.0496,9.62294
9.85694e-06,0.118556,0.349066,-2.38772,10.0626,9.63471
1.02018e-05,0.117684,0.349066,-2.29226,10.0756,9.64644
1.05601e-05,0.116811,0.349066,-2.19667,10.0886,9.65814
1.09311e-05,0.115938,0.349066,-2.10095,10.1015,9.66982
1.13137e-05,0.115066,0.349066,-2.00511,10.1143,9.68148
1.17066e-05,0.114193,0.349066,-1.90915,10.1271,9.69312
1.21081e-05,0.11332,0.349066,-1.81306,10.1399,9.70475
1.25164e-05,0.112448,0.349066,-1.71684,10.1526,9.71638
1.29294e-05,0.111575,0.349066,-1.6205,10.1652,9.728
