u0_opt,u1_opt,u2_opt,x,z,vel
0.000172804,-0.0381777,2.44346,3.53564,10.3694,10.2503
0.00023704,-0.045159,2.44346,3.74037,10.3589,10.2765
0.000359475,-0.0521403,2.44346,3.94555,10.3469,10.3033
0.00067626,-0.0591214,2.44346,4.15118,10.3335,10.3306
0.248022,-0.0591253,2.44346,4.35726,10.3187,10.3584
0.25,-0.0591535,2.44346,4.5638,10.3025,10.3366
5.64021e-06,0.160252,0.592556,-5,9.75,9
5.40176e-06,0.15327,0.349066,-4.82,9.75,9.23227
5.55212e-06,0.160252,0.349066,-4.63557,9.75896,9.35755
5.73256e-06,0.167233,0.349066,-4.44896,9.7732,9.45218
5.94664e-06,0.174214,0.349066,-4.26079,9.79132,9.52953
6.19871e-06,0.181196,0.349066,-4.07137,9.8124,9.59706
6.49481e-06,0.188177,0.349066,-3.88087,9.83592,9.65904
6.8445e-06,0.195158,0.349066,-3.6894,9.86153,9.71797
7.26502e-06,0.20214,0.349066,-3.497,9.88905,9.77534
7.73494e-06,0.199713,0.349066,-3.3037,9.91835,9.83203
8.24269e-06,0.192731,0.349066,-3.10952,9.94939,9.87362
8.79724e-06,0.18575,0.349066,-2.91465,9.9813,9.90077
9.4056e-06,0.178769,0.349066,-2.71921,10.0132,9.92052
1.00711e-05,0.171787,0.349066,-2.52328,10.0444,9.93653
1.07935e-05,0.164806,0.349066,-2.32688,10.0748,9.95074
1.15678e-05,0.157825,0.349066,-2.13002,10.104,9.96419
1.23844e-05,0.150843,0.349066,-1.93272,10.1321,9.97746
1.32287e-05,0.143862,0.349066,-1.73498,10.1589,9.99084
1.40826e-05,0.136881,0.349066,-1.5368,10.1844,10.0045
1.49277e-05,0.129899,0.349066,-1.33818,10.2086,10.0186
1.57504e-05,0.122918,0.349066,-1.13912,10.2315,10.033
1.65475e-05,0.115937,0.379003,-0.939625,10.253,10.0479
1.73324e-05,0.108955,0.462846,-0.739686,10.2733,10.0633
1.81385e-05,0.101974,0.598443,-0.539308,10.2922,10.0792
1.90144e-05,0.0949928,0.90168,-0.338488,10.3097,10.0955
2.00124e-05,0.0880115,1.33801,-0.137228,10.3259,10.1124
2.12009e-05,0.0810301,1.77434,0.0644752,10.3407,10.1297
2.26882e-05,0.0740488,2.21068,0.266621,10.3542,10.1475
2.43573e-05,0.0670675,2.44346,0.46921,10.3663,10.1659
2.62409e-05,0.0600861,2.44346,0.672243,10.3771,10.1847
2.83796e-05,0.0531048,2.44346,0.87572,10.3864,10.204
3.08245e-05,0.0461235,2.44346,1.07964,10.3945,10.2239
3.36404e-05,0.0391422,2.44346,1.28401,10.4011,10.2442
3.69112e-05,0.0321608,2.44346,1.48883,10.4063,10.2651
4.07469e-05,0.0251795,2.44346,1.6941,10.4102,10.2865
4.52942e-05,0.0181982,2.44346,1.89981,10.4126,10.3084
5.07526e-05,0.0112169,2.44346,2.10598,10.4137,10.3308
5.74002e-05,0.00423554,2.44346,2.31259,10.4133,10.3538
6.56351e-05,-0.00274579,2.44346,2.51966,10.4116,10.3773
7.60452e-05,-0.00972711,2.44346,2.72719,10.4084,10.4014
8.95324e-05,-0.0167084,2.44346,2.93516,10.4038,10.426
0.000107547,-0.0236898,2.44346,3.14359,10.3978,10.4511
0.00013256,-0.0306711,2.44346,3.35248,10.3903,10.4768
0.000169107,-0.0376524,2.44346,3.56183,10.3814,10.5031
0.000226405,-0.0446337,2.44346,3.77164,10.371,10.5299
0.000326063,-0.051615,2.44346,3.9819,10.3592,10.5573
0.000531559,-0.0585963,2.44346,4.19263,10.346,10.5853
0.00112916,-0.0655774,2.44346,4.40383,10.3312,10.6139
0.248335,-0.065561,2.44346,4.61548,10.315,10.6431
0.25,-0.0655765,2.44346,4.82761,10.2973,10.6229
3.50132e-06,0.164368,0.592556,-5,9.75,9.25
3.3506e-06,0.157387,0.349066,-4.815,9.75,9.50834
3.45161e-06,0.164368,0.349066,-4.6251,9.76001,9.64343
3.57121e-06,0.171349,0.349066,-4.43288,9.77586,9.74254
3.71248e-06,0.178331,0.349066,-4.23906,9.7959,9.82193
3.87911e-06,0.185312,0.349066,-4.044,9.81908,9.8904
4.07643e-06,0.192293,0.349066,-3.84787,9.8448,9.95285
4.31349e-06,0.199275,0.349066,-3.65077,9.87267,10.0121
4.58928e-06,0.201086,0.349066,-3.45276,9.9025,10.0697
4.88711e-06,0.194104,0.349066,-3.25387,9.93416,10.1181
5.21259e-06,0.187123,0.349066,-3.05421,9.96711,10.1483
5.57124e-06,0.180142,0.349066,-2.85396,10.0002,10.1695
5.96633e-06,0.17316,0.349066,-2.6532,10.0328,10.1862
6.39896e-06,0.166179,0.349066,-2.45196,10.0645,10.2007
6.86772e-06,0.159198,0.349066,-2.25025,10.0951,10.2144
7.36826e-06,0.152216,0.349066,-2.04809,10.1245,10.2278
7.89305e-06,0.145235,0.349066,-1.84547,10.1526,10.2414
8.43172e-06,0.138254,0.349066,-1.6424,10.1794,10.2552
8.97255e-06,0.131272,0.349066,-1.43888,10.2048,10.2694
9.50521e-06,0.124291,0.349066,-1.23491,10.2289,10.2841
1.00245e-05,0.11731,0.356824,-1.03049,10.2516,10.2992
1.05344e-05,0.110329,0.429679,-0.825619,10.273,10.3148
1.10517e-05,0.103347,0.544624,-0.620293,10.293,10.3309
1.1607e-05,0.0963659,0.757967,-0.414514,10.3116,10.3475
1.2234e-05,0.0893845,1.1943,-0.208282,10.3288,10.3646
1.29762e-05,0.0824032,1.63063,-0.00159438,10.3446,10.3823
1.39005e-05,0.0754219,2.06696,0.205548,10.3591,10.4004
1.49396e-05,0.0684406,2.44346,0.413147,10.3721,10.4191
1.61148e-05,0.0614592,2.44346,0.621203,10.3838,10.4383
1.74522e-05,0.0544779,2.44346,0.829717,10.394,10.458
1.8985e-05,0.0474966,2.44346,1.03869,10.4028,10.4782
2.07557e-05,0.0405152,2.44346,1.24812,10.4103,10.499
2.28195e-05,0.0335339,2.44346,1.45802,10.4163,10.5203
2.52493e-05,0.0265526,2.44346,1.66837,10.4208,10.5421
2.81431e-05,0.0195713,2.44346,1.87919,10.424,10.5645
3.16361e-05,0.0125899,2.44346,2.09047,10.4257,10.5874
3.59184e-05,0.00560861,2.44346,2.30222,10.4259,10.6109
4.12669e-05,-0.00137271,2.44346,2.51444,10.4248,10.6349
4.80984e-05,-0.00835404,2.44346,2.72712,10.4221,10.6595
5.70696e-05,-0.0153354,2.44346,2.94027,10.418,10.6847
6.92726e-05,-0.0223167,2.44346,3.15389,10.4125,10.7105
8.66622e-05,-0.029298,2.44346,3.36799,10.4054,10.7368
0.000113101,-0.0362793,2.44346,3.58255,10.3969,10.7637
0.000157449,-0.0432607,2.44346,3.7976,10.387,10.7912
0.000245908,-0.050242,2.44346,4.01311,10.3755,10.8193
0.000521311,-0.0572233,2.44346,4.22911,10.3625,10.848
0.499998,-0.0642046,2.44346,4.44559,10.348,10.8773
0.499999,-0.0711859,2.44346,4.66254,10.332,10.7121
0.248109,-0.0711938,2.44346,4.87605,10.3142,10.5449
0.25,-0.0712211,2.44346,5.08605,10.2949,10.5246
5.98935e-06,0.16855,0.592556,-5,9.75,9.5
5.72664e-06,0.161569,0.349066,-4.81,9.75,9.78682
5.91285e-06,0.16855,0.349066,-4.61458,9.76112,9.93233
6.13044e-06,0.175532,0.349066,-4.41671,9.77866,10.0361
6.38647e-06,0.182513,0.349066,-4.2172,9.8007,10.1176
6.68931e-06,0.189494,0.349066,-4.01645,9.82606,10.187
7.05146e-06,0.196476,0.349066,-3.81464,9.85405,10.2501
7.49586e-06,0.203457,0.349066,-3.61187,9.88426,10.3098
7.9749e-06,0.196476,0.349066,-3.40821,9.91646,10.3678
8.49744e-06,0.189494,0.349066,-3.20367,9.95054,10.4024
9.07518e-06,0.182513,0.349066,-2.99851,9.98506,10.4256
9.71582e-06,0.175532,0.349066,-2.79281,10.0192,10.4432
1.04236e-05,0.16855,0.349066,-2.58661,10.0525,10.4582
1.1199e-05,0.161569,0.349066,-2.37994,10.0846,10.4722
1.20381e-05,0.154588,0.349066,-2.17279,10.1156,10.4858
1.29316e-05,0.147606,0.349066,-1.96518,10.1452,10.4995
1.3865e-05,0.140625,0.349066,-1.75711,10.1735,10.5135
1.48198e-05,0.133644,0.349066,-1.54857,10.2005,10.5279
1.5777e-05,0.126662,0.349066,-1.33956,10.226,10.5428
1.67234e-05,0.119681,0.349066,-1.13009,10.2501,10.5581
1.76592e-05,0.1127,0.400975,-0.920158,10.2729,10.574
1.86053e-05,0.105718,0.498645,-0.709756,10.2942,10.5903
1.96097e-05,0.0987371,0.662648,-0.498886,10.3141,10.6072
2.0729e-05,0.0917558,1.09898,-0.287549,10.3326,10.6246
2.20374e-05,0.0847745,1.53531,-0.0757421,10.3496,10.6426
2.36466e-05,0.0777931,1.97164,0.136535,10.3653,10.6611
2.54627e-05,0.0708118,2.40798,0.349282,10.3795,10.6801
2.75252e-05,0.0638305,2.44346,0.562501,10.3923,10.6996
2.98842e-05,0.0568491,2.44346,0.776194,10.4036,10.7197
3.26034e-05,0.0498678,2.44346,0.99036,10.4135,10.7404
3.57662e-05,0.0428865,2.44346,1.205,10.4219,10.7616
3.94825e-05,0.0359052,2.44346,1.42012,10.4289,10.7833
4.39009e-05,0.0289238,2.44346,1.63572,10.4344,10.8056
4.92274e-05,0.0219425,2.44346,1.85179,10.4385,10.8285
5.57548e-05,0.0149612,2.44346,2.06834,10.4411,10.8519
6.39151e-05,0.00797986,2.44346,2.28538,10.4422,10.876
7.43738e-05,0.000998536,2.44346,2.5029,10.4418,10.9005
8.82153e-05,-0.00598279,2.44346,2.7209,10.4399,10.9257
0.000107345,-0.0129641,2.44346,2.93939,10.4366,10.9515
0.000135499,-0.0199454,2.44346,3.15837,10.4317,10.9779
0.000181368,-0.0269268,2.44346,3.37783,10.4254,11.0048
0.000272767,-0.0339081,2.44346,3.59779,10.4175,11.0324
0.00063914,-0.0408894,2.44346,3.81823,10.4081,11.0606
0.499999,-0.0478707,2.44346,4.03918,10.3972,11.0894
0.5,-0.054852,2.44346,4.26061,10.3847,10.9258
0.5,-0.0618333,2.44346,4.47867,10.3705,10.7602
0.5,-0.0688146,2.44346,4.69329,10.3547,10.5926
0.499999,-0.0757958,2.44346,4.90443,10.3373,10.423
0.247634,-0.0758287,2.44346,5.11203,10.3184,10.2514
0.25,-0.0758716,2.44346,5.31604,10.298,10.23
6.31243e-06,0.172802,0.592556,-5,9.75,9.75
6.02118e-06,0.165821,0.349066,-4.805,9.75,10.0679
6.23382e-06,0.172802,0.349066,-4.60402,9.7623,10.2245
6.48177e-06,0.179784,0.349066,-4.40044,9.78161,10.333
6.77617e-06,0.186765,0.349066,-4.1952,9.80575,10.4167
7.13184e-06,0.193746,0.349066,-3.9887,9.83336,10.4872
7.57063e-06,0.200113,0.349066,-3.78116,9.8637,10.5509
8.04663e-06,0.193131,0.349066,-3.57268,9.89631,10.6101
8.57082e-06,0.18615,0.349066,-3.36331,9.9309,10.6448
9.15694e-06,0.179169,0.349066,-3.15332,9.96592,10.668
9.81479e-06,0.172187,0.349066,-2.94278,10.0005,10.6858
1.05509e-05,0.165206,0.349066,-2.73174,10.0342,10.7011
1.13684e-05,0.158225,0.349066,-2.52021,10.0668,10.7155
1.22656e-05,0.151243,0.349066,-2.3082,10.0981,10.7296
1.32346e-05,0.144262,0.349066,-2.09571,10.128,10.7438
1.42599e-05,0.137281,0.349066,-1.88274,10.1566,10.7584
1.53186e-05,0.130299,0.349066,-1.66929,10.1837,10.7735
1.63831e-05,0.123318,0.349066,-1.45536,10.2094,10.789
1.74278e-05,0.116337,0.349066,-1.24095,10.2337,10.805
1.84384e-05,0.109355,0.354397,-1.02606,10.2566,10.8216
1.94227e-05,0.102374,0.432713,-0.810692,10.278,10.8386
2.04191e-05,0.0953927,0.559749,-0.59484,10.2979,10.8563
2.14921e-05,0.0884113,0.862731,-0.378505,10.3165,10.8744
2.27175e-05,0.08143,1.29906,-0.161686,10.3335,10.8931
2.42017e-05,0.0744487,1.7354,0.0556191,10.3491,10.9124
2.61231e-05,0.0674674,2.17173,0.27341,10.3632,10.9322
2.8318e-05,0.060486,2.44346,0.491689,10.3759,10.9526
3.08461e-05,0.0535047,2.44346,0.710456,10.387,10.9736
3.37848e-05,0.0465234,2.44346,0.929714,10.3967,10.9951
3.72376e-05,0.0395421,2.44346,1.14946,10.4049,11.0172
4.13458e-05,0.0325607,2.44346,1.3697,10.4116,11.0399
4.63077e-05,0.0255794,2.44346,1.59044,10.4169,11.0631
5.24113e-05,0.0185981,2.44346,1.81167,10.4206,11.0869
6.00933e-05,0.0116168,2.44346,2.0334,10.4228,11.1114
7.00542e-05,0.00463542,2.44346,2.25563,10.4235,11.1364
8.35056e-05,-0.0023459,2.44346,2.47835,10.4227,11.162
0.000102784,-0.00932723,2.44346,2.70158,10.4203,11.1883
0.000133224,-0.0163086,2.44346,2.92531,10.4164,11.2151
0.000191412,-0.0232899,2.44346,3.14955,10.411,11.2426
0.000396919,-0.0302712,2.44346,3.37429,10.4041,11.2707
0.5,-0.0372525,2.44346,3.59954,10.3955,11.2994
0.5,-0.0442338,2.44346,3.82531,10.3855,11.1382
0.5,-0.0512152,2.44346,4.04776,10.3737,10.975
0.5,-0.0581965,2.44346,4.26685,10.3602,10.8098
0.5,-0.0651778,2.44346,4.48252,10.3452,10.6426
0.5,-0.0721591,2.44346,4.69472,10.3286,10.4734
0.5,-0.0791404,2.44346,4.90341,10.3105,10.3022
0.499999,-0.0861215,2.44346,5.10852,10.2909,10.1292
0.24699,-0.0861802,2.44346,5.31001,10.2698,9.95422
0.25,-0.0862399,2.44346,5.50782,10.2474,9.93206
6.53222e-06,0.177127,0.592556,-5,9.75,10
6.19108e-06,0.170146,0.349066,-4.8,9.75,10.3517
6.42816e-06,0.177127,0.349066,-4.59341,9.76354,10.5201
6.70349e-06,0.184108,0.349066,-4.38408,9.78472,10.6336
7.03465e-06,0.19109,0.349066,-4.17304,9.81104,10.7195
7.44852e-06,0.198071,0.349066,-3.96075,9.841,10.7912
7.89677e-06,0.19109,0.349066,-3.74743,9.87375,10.8557
8.39144e-06,0.184108,0.349066,-3.53317,9.90884,10.8925
8.94787e-06,0.177127,0.349066,-3.31826,9.94449,10.9167
9.57728e-06,0.170146,0.349066,-3.10279,9.97976,10.9351
1.02881e-05,0.163164,0.349066,-2.8868,10.0141,10.951
1.1086e-05,0.156183,0.349066,-2.67032,10.0473,10.9658
1.19731e-05,0.149202,0.349066,-2.45333,10.0792,10.9805
1.29463e-05,0.14222,0.349066,-2.23585,10.1097,10.9953
1.39952e-05,0.135239,0.349066,-2.01787,10.1388,11.0105
1.51015e-05,0.128258,0.349066,-1.7994,10.1664,11.0262
1.62395e-05,0.121276,0.349066,-1.58044,10.1926,11.0424
1.73808e-05,0.114295,0.349066,-1.36098,10.2173,11.0591
1.85038e-05,0.107314,0.349066,-1.14102,10.2406,11.0763
1.9605e-05,0.100332,0.377921,-0.920565,10.2623,11.0941
2.07112e-05,0.0933511,0.47723,-0.699611,10.2826,11.1125
2.18868e-05,0.0863698,0.685315,-0.478157,10.3014,11.1314
2.3213e-05,0.0793885,1.12165,-0.256201,10.3187,11.1509
2.48046e-05,0.0724071,1.55798,-0.0337434,10.3345,11.171
2.68504e-05,0.0654258,1.99431,0.189218,10.3488,11.1916
2.92054e-05,0.0584445,2.43064,0.412684,10.3616,11.2128
3.19428e-05,0.0514632,2.44346,0.636657,10.3728,11.2346
3.51608e-05,0.0444818,2.44346,0.861138,10.3826,11.257
3.89954e-05,0.0375005,2.44346,1.08613,10.3908,11.28
4.36403e-05,0.0305192,2.44346,1.31163,10.3976,11.3036
4.93833e-05,0.0235379,2.44346,1.53764,10.4027,11.3278
5.66746e-05,0.0165565,2.44346,1.76417,10.4064,11.3526
6.62681e-05,0.0095752,2.44346,1.99121,10.4085,11.378
7.95557e-05,0.00259388,2.44346,2.21877,10.409,11.4041
9.95071e-05,-0.00438745,2.44346,2.44685,10.408,11.4307
