i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa,aoa_true
0,0.5,0.3023,0.634119,-10,1,8,2.12846e-34,8,1.70277e-33,-9.62182,0.869695,0.3023,0.3023
1,0.5,0.349066,0.349066,-9.84,1,10,1.22636e-07,10,1.22636e-06,-9.44,1,0.349066,0.349066
2,0.5,0.349066,0.349066,-9.64,1,10,1.03987e-07,10,1.03987e-06,-9.24,1,0.349066,0.349066
3,0.5,0.349066,0.349066,-9.44,1,10,8.97422e-08,10,8.97422e-07,-9.04,1,0.349066,0.349066
4,0.5,0.349066,0.349066,-9.24,1,10,7.80217e-08,10,7.80217e-07,-8.84,1,0.349066,0.349066
5,0.5,0.349066,0.349066,-9.04,1,10,6.79102e-08,10,6.79102e-07,-8.64,1,0.349066,0.349066
6,0.5,0.349066,0.349066,-8.84,1,10,5.88978e-08,10,5.88978e-07,-8.44,1,0.349066,0.349066
7,0.5,0.349066,0.349066,-8.64,1,10,5.06714e-08,10,5.06714e-07,-8.24,1,0.349066,0.349066
8,0.5,0.349066,0.349066,-8.44,1,10,4.30244e-08,10,4.30244e-07,-8.04,1,0.349066,0.349066
9,0.5,0.349066,0.349066,-8.24,1,10,3.58118e-08,10,3.58118e-07,-7.84,1,0.349066,0.349066
10,0.5,0.349066,0.349066,-8.04,1,10,2.89266e-08,10,2.89266e-07,-7.64,1,0.349066,0.349066
11,0.5,0.349066,0.349066,-7.84,1,10,2.2286e-08,10,2.2286e-07,-7.44,1,0.349066,0.349066
12,0.5,0.349066,0.349066,-7.64,1,10,1.58231e-08,10,1.58231e-07,-7.24,1,0.349066,0.349066
13,0.5,0.349066,0.349066,-7.44,1,10,9.48141e-09,10,9.48141e-08,-7.04,1,0.349066,0.349066
14,0.5,0.349066,0.349066,-7.24,1,10,3.21105e-09,10,3.21105e-08,-6.84,1,0.349066,0.349066
15,0.5,0.349066,0.349066,-7.04,1,10,-3.0341e-09,10,-3.0341e-08,-6.64,1,0.349066,0.349066
16,0.5,0.349066,0.349066,-6.84,1,10,-9.29872e-09,10,-9.29872e-08,-6.44,1,0.349066,0.349066
17,0.5,0.349066,0.349066,-6.64,1,10,-1.56282e-08,10,-1.56282e-07,-6.24,1,0.349066,0.349066
18,0.5,0.349066,0.349066,-6.44,1,10,-2.20706e-08,10,-2.20706e-07,-6.04,1,0.349066,0.349066
19,0.5,0.349066,0.349066,-6.24,1,10,-2.86792e-08,10,-2.86792e-07,-5.84,1,0.349066,0.349066
20,0.5,0.349066,0.349066,-6.04,1,10,-3.55151e-08,10,-3.55151e-07,-5.64,1,0.349066,0.349066
21,0.5,0.349066,0.349066,-5.84,1,10,-4.26503e-08,10,-4.26503e-07,-5.44,1,0.349066,0.349066
22,0.5,0.349066,0.349066,-5.64,1,10,-5.0171e-08,10,-5.0171e-07,-5.24,1,0.349066,0.349066
