i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa,aoa_true
0,0.476293,-0.0126759,1.15474,6.54674,2.311,15.6838,0.28,15.073,4.33431,6.70375,1.94311,-0.292676,-0.292676
1,0.475923,-0.0138442,1.14897,7.30039,2.52772,10,-0.193044,9.81425,-1.91848,7.4591,2.16055,0.1792,0.1792
2,0.475658,-0.0151142,1.14496,7.7911,2.43179,10,-0.193044,9.81425,-1.91848,7.95081,2.06506,0.17793,0.17793
3,0.474678,-0.0185535,1.14041,8.28182,2.33587,10,-0.193044,9.81425,-1.91848,8.44193,1.96931,0.174491,0.174491
4,0.469994,-0.029052,1.13457,8.77253,2.23994,10,-0.193044,9.81425,-1.91848,8.93093,1.87265,0.163992,0.163992
5,0.460409,-0.0593908,1.12738,9.26324,2.14402,6.4067,-0.190542,6.29075,-1.21337,9.4131,1.77316,0.131151,0.131151
6,0.526253,-0.13619,1.11845,9.57778,2.08335,6,-0.485255,5.30734,-2.79861,9.70215,1.70318,0.349066,0.349066
7,0.484086,0.0383433,1.10338,9.84314,1.94342,6,0.0383432,5.99559,0.230003,10.0369,1.5935,7.53171e-08,7.53171e-08
8,0.450982,0.212876,1.09515,10.1429,1.95492,6,0.212876,5.86456,1.26763,10.3971,1.64605,4.62445e-08,4.62445e-08
9,0.471968,0.143977,1.09471,10.4362,2.0183,7.2665,-0.0806993,7.24285,-0.585766,10.6686,1.69277,0.224676,0.224676
