i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa,aoa_true
0,0.5,-0.146757,1.00359,-5.10512,2.305,12.3836,0.28,11.9014,3.42229,-4.94185,1.93984,-0.426757,-0.426757
1,0.5,-0.164276,0.894327,-3.91499,2.64723,10,-0.398265,9.21735,-3.8782,-3.71895,2.29856,0.233989,0.233989
2,0.5,-0.137874,0.680605,-2.99325,2.25941,10,-0.398265,9.21735,-3.8782,-2.71992,1.96737,0.260391,0.260391
3,0.500001,-0.0492005,0.349067,-2.07151,1.87159,10,-0.398264,9.21735,-3.87819,-1.70282,1.71646,0.349064,0.349064
4,0.5,0.0490178,0.447284,-1.14978,1.48377,7.99999,-0.112485,7.94944,-0.897987,-0.781085,1.32864,0.161503,0.161503
