u0_opt,u1_opt,u2_opt,x,z,vx,vz,pitch
0.499998,0.303289,0.634497,-9.54107,2.029,11.3127,-0.04,-0.0425973
0.5,0.350321,0.349694,-8.05713,2.023,11.3395,-0.04,-0.0405988
0.5,0.348746,0.351259,-6.39896,2.024,12.0045,0.19,-0.0186699
0.5,0.347165,0.352822,-4.79056,2.066,12.5224,0.74,0.0325545
0.5,0.345578,0.354382,-2.99793,2.178,12.893,1.63,0.0957809
0.5,0.343985,0.35594,-1.31973,2.363,13.1207,2.42,0.149597
0.5,0.342388,0.357495,0.54757,2.643,13.3126,3.1,0.189866
0.5,0.340837,0.359074,2.29042,2.959,13.4689,3.59,0.217694
0.5,0.350835,0.360273,4.2075,3.345,13.6161,4.01,0.241964
0.5,0.480525,0.541385,5.99528,3.733,13.75,4.32,0.259797
0.5,0.305992,1.06498,7.95212,4.192,13.7768,4.78,0.294939
0.5,0.131459,1.58858,9.90411,4.713,13.7901,5.2,0.308885
0.499999,0.187103,1.3417,11.7216,5.197,14.116,4.98,0.282318
