u0_opt,u1_opt,u2_opt,x,z,vx,vz,pitch
0.5,0.3023,0.634119,-9.87184,2.272,11.3572,0.01,-0.033715
0.500002,0.349066,0.349066,-9.62295,2.272,11.3572,0.01,-0.0337878
0.500002,0.349066,0.349066,-9.25447,2.273,11.3572,0.01,-0.0338036
0.500001,0.349066,0.349066,-9.00557,2.273,11.3572,-0,-0.0329152
0.500001,0.349066,0.349066,-8.63709,2.274,11.433,-0,-0.0305873
0.500001,0.349066,0.349066,-8.38304,2.274,11.5312,0.01,-0.0270748
0.500001,0.349066,0.349066,-7.99968,2.275,11.6874,0.05,-0.0224319
0.500001,0.349066,0.349066,-7.61632,2.277,11.8437,0.12,-0.0166818
0.500001,0.349066,0.349066,-7.35741,2.28,11.9418,0.18,-0.00847716
0.500001,0.349066,0.349066,-7.0985,2.284,12.04,0.24,-0.00212654
0.500001,0.349066,0.349066,-6.70513,2.291,12.1829,0.36,0.00665735
0.500001,0.349066,0.349066,-6.44622,2.298,12.2677,0.45,0.0163711
0.500001,0.349066,0.349066,-6.05285,2.31,12.3882,0.59,0.0268834
0.500001,0.349066,0.349066,-5.78393,2.321,12.464,0.7,0.0336147
0.500001,0.349066,0.349066,-5.38569,2.34,12.5622,0.88,0.0453662
0.500001,0.349066,0.349066,-5.11677,2.355,12.6203,1,0.057835
0.500001,0.349066,0.349066,-4.70852,2.382,12.7185,1.21,0.0707682
0.500001,0.349066,0.349066,-4.4396,2.403,12.7675,1.35,0.081133
0.500001,0.349066,0.349066,-4.02134,2.438,12.839,1.57,0.0938657
0.500001,0.349066,0.349066,-3.74755,2.465,12.8747,1.72,0.10596
0.500001,0.349066,0.349066,-3.32929,2.508,12.9372,1.93,0.121981
0.500001,0.349066,0.349066,-2.91103,2.557,12.9952,2.13,0.130626
0.5,0.349066,0.349066,-2.62723,2.593,13.022,2.25,0.140919
0.5,0.349066,0.349066,-2.35344,2.63,13.0577,2.38,0.150528
0.5,0.349066,0.349066,-1.92517,2.689,13.1068,2.55,0.159794
0.5,0.349066,0.349066,-1.64137,2.731,13.1425,2.66,0.168532
0.5,0.349066,0.349066,-1.22311,2.797,13.1826,2.83,0.176707
0.5,0.349066,0.349066,-0.789971,2.867,13.2273,2.98,0.184365
0.5,0.349066,0.349066,-0.506172,2.915,13.254,3.07,0.191688
0.5,0.349066,0.349066,-0.222372,2.965,13.2764,3.17,0.198606
0.499999,0.349066,0.349066,0.205904,3.041,13.3121,3.3,0.205172
0.499999,0.349066,0.349066,0.499717,3.092,13.3388,3.38,0.211432
0.499999,0.349066,0.349066,0.932854,3.17,13.3746,3.5,0.217247
0.499999,0.349066,0.349066,1.21665,3.225,13.4013,3.58,0.22283
0.499999,0.349066,0.349066,1.6598,3.308,13.437,3.69,0.229086
0.499999,0.349066,0.349066,1.94846,3.366,13.4504,3.76,0.233972
0.5,0.349066,0.349066,2.38675,3.454,13.4861,3.86,0.237677
0.5,0.349066,0.349066,2.68543,3.514,13.5128,3.92,0.243763
0.5,0.349066,0.349066,3.11857,3.607,13.5395,4.01,0.247911
0.5,0.349066,0.349066,3.41238,3.67,13.5619,4.07,0.251905
0.5,0.349066,0.349066,3.85553,3.766,13.5886,4.15,0.255593
0.5,0.349066,0.349066,4.1542,3.832,13.611,4.21,0.259003
0.5,0.349066,0.349066,4.59736,3.931,13.6377,4.28,0.262242
0.5,0.349066,0.349066,4.89117,3.999,13.6601,4.33,0.26536
0.5,0.349066,0.349066,5.33432,4.102,13.6868,4.4,0.268427
0.5,0.351178,0.349066,5.633,4.172,13.7135,4.45,0.271214
0.5,0.507305,0.497131,6.07615,4.278,13.7449,4.51,0.273834
0.499954,0.523599,0.647455,6.52931,4.386,13.7716,4.57,0.276319
0.5,0.523599,0.797008,6.82799,4.458,13.7983,4.61,0.280886
0.5,0.523599,0.962639,7.57983,4.643,13.8027,4.76,0.28853
0.5,0.523599,1.1475,7.57983,4.643,13.8027,4.76,0.297891
0.499954,0.523599,1.35157,7.8785,4.718,13.7893,4.87,0.307878
0.5,0.460897,1.50942,8.64035,4.915,13.7179,5.16,0.319931
0.5,0.298723,1.57921,9.08351,5.04,13.6688,5.34,0.327723
0.5,0.135885,1.65928,9.08351,5.04,13.6688,5.34,0.33322
0.5,-0.0267571,1.74738,9.08351,5.04,13.6688,5.34,0.33322
0.5,-0.187937,1.84214,9.08351,5.04,13.6688,5.34,0.33322
0.5,-0.220256,2.06986,9.08351,5.04,13.6688,5.34,0.33322
0.5,-0.106386,2.44346,9.08351,5.04,13.6688,5.34,0.33322
0.5,0.0199882,2.44346,9.53152,5.168,13.6241,5.51,0.339319
0.5,0.0333371,2.44346,9.82533,5.256,13.6017,5.6,0.343405
0.49984,0.0559628,2.44346,10.2834,5.39,13.6151,5.67,0.343594
