z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.3,10,43,1.45518e-05,0.209307,1.3972,5.22279,1.96148,8.82484,0.155374,8.71853,1.36564,5.37223,1.59045,0.053933
1.3,10,44,1.80372e-05,0.212797,1.39701,5.39716,1.98879,8.86863,0.159444,8.75614,1.40807,5.54797,1.61831,0.0533531
1.3,10,45,2.35858e-05,0.216288,1.39687,5.57228,2.01695,8.9125,0.163507,8.79363,1.45077,5.72444,1.64702,0.0527806
1.3,10,46,3.38192e-05,0.219779,1.39677,5.74815,2.04597,8.95647,0.167563,8.83102,1.49376,5.90164,1.67659,0.0522155
1.3,10,47,5.94671e-05,0.223269,1.39669,5.92477,2.07585,9.00052,0.171612,8.86831,1.53703,6.07957,1.70701,0.0516574
1.3,10,48,0.253727,0.223055,1.39665,6.10214,2.10659,9.04468,0.175654,8.90551,1.58057,6.25688,1.73773,0.0474012
1.3,10,49,0.25,0.222966,1.39662,6.28025,2.1382,9.03078,0.180718,8.88371,1.62316,6.43496,1.76933,0.0422477
1.3,10.25,0,0.5,0.118539,0.349066,-2,1.3,10.25,1.12113e-42,10.25,1.10335e-41,-1.61058,1.2086,0.118539
1.3,10.25,1,0.5,0.115048,0.349066,-1.795,1.3,10.2224,0.0452349,10.2119,0.46225,-1.4059,1.20724,0.0698132
1.3,10.25,2,0.5,0.118539,0.349066,-1.59076,1.30925,10.101,0.0679909,10.0777,0.68625,-1.20134,1.21785,0.0505478
1.3,10.25,3,0.5,0.122029,0.349066,-1.38921,1.32297,9.94997,0.0816393,9.91683,0.811407,-0.999473,1.23293,0.0403901
1.3,10.25,4,0.5,0.12552,0.349066,-1.19087,1.3392,9.78344,0.0903244,9.74356,0.882482,-0.800824,1.25052,0.0351957
1.3,10.25,5,0.5,0.129011,0.390749,-0.996,1.35685,9.60769,0.0962892,9.56319,0.923688,-0.609623,1.25334,0.0327215
1.3,10.25,6,0.5,0.132501,0.499649,-0.804736,1.37532,9.42565,0.10074,9.37786,0.947936,-0.431394,1.23174,0.0317612
1.3,10.25,7,0.5,0.129011,0.658724,-0.617179,1.39428,9.23876,0.104327,9.18852,0.962104,-0.271998,1.19217,0.0246838
1.3,10.25,8,0.5,0.12552,0.872665,-0.433409,1.41352,9.0412,0.104261,8.9921,0.94094,-0.139956,1.1417,0.0212588
1.3,10.25,9,0.5,0.122029,1.13446,-0.253567,1.43234,8.83663,0.102057,8.79065,0.900276,-0.0416476,1.09309,0.0199723
1.3,10.25,10,0.5,0.118539,1.39626,-0.0777535,1.45035,8.62685,0.0985566,8.58499,0.848857,0.0378042,1.0674,0.0199821
1.3,10.25,11,0.5,0.115048,1.65806,0.0939462,1.46732,8.41278,0.0942263,8.37546,0.791533,0.105057,1.06748,0.0208217
1.3,10.25,12,0.5,0.111557,1.91986,0.261455,1.48315,8.19492,0.0893215,8.16225,0.73101,0.167343,1.09438,0.0222359
1.3,10.25,13,3.08273e-06,0.108067,2.18166,0.4247,1.49777,7.97357,0.0839774,7.94547,0.668813,0.231948,1.14728,0.0240893
1.3,10.25,14,3.18263e-06,0.104576,2.44346,0.58361,1.51115,7.98265,0.0727423,7.96154,0.580164,0.305705,1.22345,0.0318338
1.3,10.25,15,3.29037e-06,0.108067,2.25035,0.74284,1.52275,7.99694,0.0643762,7.98037,0.514457,0.526487,1.18631,0.0436905
1.3,10.25,16,3.40698e-06,0.111557,2.0879,0.902448,1.53304,8.01956,0.0604003,8.00493,0.484089,0.744639,1.16549,0.0511571
1.3,10.25,17,3.53278e-06,0.115048,1.9514,1.06255,1.54273,8.04827,0.0592705,8.03413,0.476745,0.95757,1.15675,0.0557776
1.3,10.25,18,3.66833e-06,0.118539,1.8382,1.22323,1.55226,8.08124,0.0599922,8.06671,0.484521,1.1639,1.15668,0.0585466
1.3,10.25,19,3.81437e-06,0.122029,1.74576,1.38456,1.56195,8.11714,0.0619194,8.10159,0.502287,1.3634,1.16251,0.06011
1.3,10.25,20,3.97183e-06,0.12552,1.67128,1.5466,1.572,8.15502,0.0646306,8.13799,0.526697,1.55661,1.17212,0.0608894
1.3,10.25,21,4.14183e-06,0.129011,1.61193,1.70935,1.58253,8.19421,0.0678504,8.17535,0.555554,1.74446,1.18407,0.0611603
1.3,10.25,22,4.32573e-06,0.132501,1.565,1.87286,1.59364,8.23427,0.0713985,8.21329,0.587416,1.92801,1.19746,0.0611029
1.3,10.25,23,4.52512e-06,0.135992,1.52808,2.03713,1.60539,8.27492,0.0751571,8.25156,0.621334,2.10823,1.21176,0.0608349
1.3,10.25,24,4.74187e-06,0.139483,1.49914,2.20216,1.61782,8.31595,0.0790493,8.28998,0.656686,2.28599,1.2267,0.0604334
1.3,10.25,25,4.97819e-06,0.142973,1.47651,2.36796,1.63095,8.35725,0.083025,8.32846,0.693063,2.46197,1.24216,0.0599484
1.3,10.25,26,5.23673e-06,0.146464,1.45884,2.53453,1.64481,8.39871,0.0870515,8.36691,0.730198,2.63675,1.25809,0.0594125
1.3,10.25,27,5.52061e-06,0.149955,1.44505,2.70187,1.65942,8.44031,0.0911079,8.4053,0.767915,2.81076,1.27452,0.0588468
1.3,10.25,28,5.83357e-06,0.153445,1.43429,2.86997,1.67477,8.48199,0.0951805,8.4436,0.806102,2.98434,1.29147,0.0582649
1.3,10.25,29,6.18016e-06,0.156936,1.4259,3.03884,1.6909,8.52375,0.0992606,8.4818,0.844684,3.15775,1.30898,0.0576754
1.3,10.25,30,6.56589e-06,0.160427,1.41936,3.20848,1.70779,8.56558,0.103343,8.51988,0.883615,3.33121,1.32708,0.0570841
1.3,10.25,31,6.99757e-06,0.163917,1.41427,3.37888,1.72546,8.60746,0.107423,8.55784,0.922862,3.50487,1.34582,0.0564943
1.3,10.25,32,7.48366e-06,0.167408,1.41029,3.55003,1.74392,8.6494,0.1115,8.59569,0.962409,3.67886,1.36523,0.0559083
1.3,10.25,33,8.03483e-06,0.170899,1.4072,3.72195,1.76317,8.69139,0.115571,8.63341,1.00224,3.85327,1.38534,0.0553274
1.3,10.25,34,8.66471e-06,0.174389,1.40479,3.89462,1.78321,8.73345,0.119637,8.67103,1.04235,4.02816,1.40616,0.0547523
1.3,10.25,35,9.391e-06,0.17788,1.40291,4.06804,1.80406,8.77558,0.123697,8.70853,1.08274,4.20361,1.42773,0.0541836
1.3,10.25,36,1.02371e-05,0.181371,1.40144,4.24221,1.82571,8.81778,0.127749,8.74592,1.1234,4.37964,1.45006,0.0536214
1.3,10.25,37,1.12348e-05,0.184861,1.4003,4.41713,1.84818,8.86005,0.131796,8.78321,1.16434,4.5563,1.47317,0.0530657
1.3,10.25,38,1.24277e-05,0.188352,1.39942,4.59279,1.87147,8.9024,0.135835,8.82039,1.20555,4.7336,1.49707,0.0525166
1.3,10.25,39,1.38783e-05,0.191843,1.39873,4.7692,1.89558,8.94483,0.139869,8.85748,1.24703,4.91157,1.52178,0.051974
1.3,10.25,40,1.56788e-05,0.195333,1.39819,4.94635,1.92052,8.98736,0.143896,8.89447,1.28878,5.09023,1.54729,0.0514379
1.3,10.25,41,1.79711e-05,0.198824,1.39777,5.12424,1.9463,9.02998,0.147916,8.93138,1.33082,5.26957,1.57363,0.0509079
1.3,10.25,42,2.09855e-05,0.202315,1.39745,5.30286,1.97291,9.07271,0.151931,8.96819,1.37312,5.44962,1.60081,0.0503842
1.3,10.25,43,2.51233e-05,0.205805,1.3972,5.48223,2.00037,9.11554,0.155939,9.00493,1.41571,5.63037,1.62882,0.0498664
1.3,10.25,44,3.11508e-05,0.209296,1.39701,5.66233,2.02869,9.15848,0.159942,9.04159,1.45858,5.81184,1.65768,0.0493545
1.3,10.25,45,4.07421e-05,0.212787,1.39687,5.84316,2.05786,9.20154,0.163938,9.07817,1.50174,5.99402,1.6874,0.0488483
1.3,10.25,46,5.84222e-05,0.216277,1.39677,6.02472,2.0879,9.24473,0.16793,9.11468,1.54518,6.17691,1.71798,0.0483478
1.3,10.25,47,0.00010271,0.219768,1.39669,6.20702,2.1188,9.28804,0.171915,9.15112,1.5889,6.36052,1.74943,0.0478526
1.3,10.25,48,0.250322,0.219625,1.39665,6.39004,2.15058,9.33148,0.175896,9.1875,1.63292,6.54351,1.78119,0.043729
1.3,10.25,49,0.25,0.219573,1.39662,6.57379,2.18324,9.31915,0.180678,9.16746,1.67462,6.72725,1.81384,0.0388947
1.3,10.5,0,0.5,0.122097,0.349066,-2,1.3,10.5,1.56252e-44,10.5,2.822e-43,-1.61026,1.20999,0.122097
1.3,10.5,1,0.5,0.118606,0.349066,-1.79,1.3,10.4955,0.0487927,10.483,0.511901,-1.40058,1.20863,0.0698132
1.3,10.5,2,0.5,0.122097,0.349066,-1.58034,1.31024,10.3842,0.0730269,10.3565,0.75765,-1.1906,1.22023,0.0490696
1.3,10.5,3,0.5,0.125587,0.349066,-1.37321,1.32539,10.2396,0.0872817,10.2007,0.892599,-0.983157,1.23674,0.0383055
1.3,10.5,4,0.5,0.129078,0.363197,-1.1692,1.34324,10.0785,0.0962079,10.0319,0.968136,-0.780109,1.25045,0.0328699
1.3,10.5,5,0.5,0.132569,0.460694,-0.968559,1.36261,9.90775,0.102281,9.85598,1.0116,-0.589899,1.2337,0.030288
1.3,10.5,6,0.5,0.136059,0.623368,-0.771439,1.38284,9.73063,0.106805,9.67518,1.0373,-0.418001,1.19554,0.0292545
1.3,10.5,7,0.5,0.132569,0.842288,-0.577936,1.40358,9.54866,0.110469,9.49046,1.05269,-0.274518,1.14294,0.0220996
1.3,10.5,8,0.5,0.129078,1.10409,-0.388126,1.42464,9.3558,0.110413,9.29883,1.0309,-0.163662,1.09355,0.0186653
1.3,10.5,9,0.5,0.125587,1.36589,-0.20215,1.44526,9.15591,0.108235,9.10233,0.989054,-0.0723448,1.0669,0.0173524
1.3,10.5,10,0.5,0.122097,1.62769,-0.0201032,1.46504,8.95084,0.104808,8.90172,0.936403,0.00596081,1.06589,0.0172885
1.3,10.5,11,0.5,0.118606,1.88949,0.157931,1.48376,8.74152,0.100606,8.69732,0.877968,0.0784306,1.09174,0.0179998
1.3,10.5,12,3.13021e-06,0.115115,2.15129,0.331878,1.50132,8.52846,0.0958846,8.48928,0.816495,0.152375,1.14386,0.0192306
1.3,10.5,13,3.23101e-06,0.111625,2.41308,0.501663,1.51765,8.53717,0.0852701,8.50616,0.727084,0.234718,1.21976,0.0263544
1.3,10.5,14,3.34052e-06,0.115115,2.225,0.671786,1.5322,8.55105,0.0774679,8.5254,0.66177,0.466446,1.18892,0.0376472
1.3,10.5,15,3.45928e-06,0.118606,2.06652,0.842294,1.54543,8.57347,0.0741168,8.54993,0.634857,0.694999,1.17354,0.044489
1.3,10.5,16,3.58746e-06,0.122097,1.93355,1.01329,1.55813,8.60192,0.0735337,8.57867,0.631961,0.917956,1.16966,0.0485628
1.3,10.5,17,3.72547e-06,0.125587,1.82354,1.18487,1.57077,8.63444,0.0746792,8.61038,0.644214,1.13414,1.174,0.050908
1.3,10.5,18,3.87398e-06,0.129078,1.73388,1.35707,1.58365,8.66966,0.0769054,8.64404,0.666087,1.34347,1.18388,0.0521725
1.3,10.5,19,4.03386e-06,0.132569,1.66178,1.52995,1.59697,8.70666,0.0798068,8.67895,0.694113,1.54658,1.19732,0.0527617
1.3,10.5,20,4.20615e-06,0.136059,1.6044,1.70353,1.61086,8.74481,0.0831292,8.71461,0.726112,1.74444,1.21295,0.05293
1.3,10.5,21,4.39215e-06,0.13955,1.55906,1.87783,1.62538,8.78373,0.0867127,8.75073,0.760707,1.93811,1.22995,0.0528372
1.3,10.5,22,4.59337e-06,0.143041,1.52342,2.05284,1.64059,8.82316,0.0904572,8.78709,0.797031,2.12855,1.24782,0.0525833
1.3,10.5,23,4.81159e-06,0.146531,1.4955,2.22858,1.65653,8.86295,0.0943001,8.82358,0.834539,2.31659,1.26633,0.0522311
1.3,10.5,24,5.04889e-06,0.150022,1.47366,2.40505,1.67322,8.903,0.098202,8.8601,0.872887,2.50291,1.28538,0.0518199
1.3,10.5,25,5.30774e-06,0.153513,1.45661,2.58226,1.69068,8.94323,0.102138,8.89663,0.911861,2.68806,1.30493,0.0513741
1.3,10.5,26,5.59106e-06,0.157003,1.44331,2.76019,1.70892,8.98363,0.106094,8.93312,0.951325,2.87246,1.325,0.0509089
1.3,10.5,27,5.9023e-06,0.160494,1.43293,2.93885,1.72794,9.02416,0.11006,8.96956,0.991196,3.05643,1.34562,0.0504338
1.3,10.5,28,6.24562e-06,0.163985,1.42485,3.11824,1.74777,9.06481,0.11403,9.00594,1.03142,3.24024,1.36683,0.0499545
1.3,10.5,29,6.62602e-06,0.167475,1.41854,3.29836,1.7684,9.10558,0.118001,9.04226,1.07197,3.42409,1.38867,0.0494746
1.3,10.5,30,7.0496e-06,0.170966,1.41362,3.47921,1.78984,9.14647,0.12197,9.07852,1.11283,3.60812,1.41118,0.0489963
1.3,10.5,31,7.52386e-06,0.174457,1.40979,3.66078,1.81209,9.18747,0.125936,9.11471,1.15398,3.79246,1.43439,0.0485208
1.3,10.5,32,8.05814e-06,0.177947,1.40681,3.84307,1.83517,9.2286,0.129898,9.15085,1.19541,3.9772,1.45833,0.0480489
1.3,10.5,33,8.66418e-06,0.181438,1.40448,4.02609,1.85908,9.26984,0.133857,9.18692,1.23713,4.1624,1.48302,0.0475811
1.3,10.5,34,9.35699e-06,0.184929,1.40267,4.20983,1.88382,9.31122,0.137811,9.22294,1.27913,4.34813,1.5085,0.0471174
1.3,10.5,35,1.01561e-05,0.188419,1.40126,4.39428,1.90941,9.35272,0.141761,9.2589,1.32142,4.53443,1.53476,0.0466582
1.3,10.5,36,1.10871e-05,0.19191,1.40016,4.57946,1.93583,9.39436,0.145707,9.29481,1.36398,4.72133,1.56184,0.0462032
1.3,10.5,37,1.21849e-05,0.195401,1.3993,4.76536,1.96311,9.43614,0.149648,9.33068,1.40683,4.90885,1.58974,0.0457526
