u0_opt,u1_opt,u2_opt,x,z,vel
0.000376203,0.107561,2.44346,3.83794,10.7705,10.0129
0.000537707,0.106688,2.44346,3.93725,10.7833,10.0244
0.000940104,0.105816,2.44346,4.03668,10.796,10.0359
0.247158,0.105823,2.44346,4.13624,10.8087,10.0475
0.25,0.105828,2.44346,4.23592,10.8213,10.0347
5.03817e-06,0.132577,0.592556,-5,9.5,8.6
4.95542e-06,0.131704,0.349066,-4.914,9.5,8.6479
4.99536e-06,0.132577,0.349066,-4.82755,9.50233,8.69369
5.04316e-06,0.13345,0.349066,-4.74072,9.50655,8.73671
5.09856e-06,0.134322,0.349066,-4.65354,9.51232,8.77653
5.16141e-06,0.135195,0.349066,-4.56606,9.51937,8.81311
5.23167e-06,0.136068,0.349066,-4.4783,9.52748,8.84664
5.3094e-06,0.13694,0.349066,-4.39029,9.53647,8.87743
5.39468e-06,0.137813,0.349066,-4.30205,9.5462,8.90581
5.48767e-06,0.138686,0.349066,-4.2136,9.55654,8.93212
5.58856e-06,0.139558,0.349066,-4.12494,9.5674,8.95669
5.69759e-06,0.140431,0.349066,-4.03609,9.5787,8.97979
5.81503e-06,0.141304,0.349066,-3.94705,9.59038,9.00167
5.94117e-06,0.142176,0.349066,-3.85784,9.6024,9.02256
6.07634e-06,0.143049,0.349066,-3.76846,9.6147,9.04262
6.22091e-06,0.143922,0.349066,-3.67891,9.62726,9.06201
6.37526e-06,0.144794,0.349066,-3.5892,9.64005,9.08086
6.53981e-06,0.145667,0.349066,-3.49932,9.65304,9.09928
6.71497e-06,0.14654,0.349066,-3.40929,9.66623,9.11733
6.9012e-06,0.147412,0.349066,-3.3191,9.67959,9.13511
7.09896e-06,0.148285,0.349066,-3.22876,9.69312,9.15266
7.3087e-06,0.149158,0.349066,-3.13826,9.70681,9.17003
7.53088e-06,0.15003,0.349066,-3.04761,9.72065,9.18726
7.76593e-06,0.150903,0.349066,-2.95681,9.73464,9.20438
8.01427e-06,0.151776,0.349066,-2.86586,9.74876,9.22141
8.27625e-06,0.152648,0.349066,-2.77475,9.76302,9.23838
8.55216e-06,0.153521,0.349066,-2.6835,9.77742,9.2553
8.84221e-06,0.154394,0.349066,-2.59209,9.79195,9.27218
9.14648e-06,0.155266,0.349066,-2.50054,9.80661,9.28904
9.46491e-06,0.156139,0.349066,-2.40883,9.8214,9.30588
9.79726e-06,0.157012,0.349066,-2.31697,9.83632,9.32271
1.01431e-05,0.157884,0.349066,-2.22497,9.85136,9.33954
1.05017e-05,0.158757,0.349066,-2.13282,9.86653,9.35637
1.08721e-05,0.15963,0.349066,-2.04051,9.88183,9.37321
1.12526e-05,0.158757,0.349066,-1.94806,9.89726,9.39005
1.16418e-05,0.157884,0.349066,-1.85545,9.91282,9.40582
1.20379e-05,0.157012,0.349066,-1.76271,9.92846,9.42074
1.24388e-05,0.156139,0.349066,-1.66982,9.94417,9.43497
1.28425e-05,0.155266,0.349066,-1.57679,9.95991,9.44865
1.32467e-05,0.154394,0.349066,-1.48363,9.97568,9.46189
1.3649e-05,0.153521,0.349066,-1.39033,9.99145,9.47477
1.40475e-05,0.152648,0.349066,-1.29691,10.0072,9.48737
1.44404e-05,0.151776,0.349066,-1.20335,10.023,9.49975
1.48264e-05,0.150903,0.349066,-1.10966,10.0387,9.51194
1.5205e-05,0.15003,0.349066,-1.01585,10.0544,9.52399
1.55765e-05,0.149158,0.349066,-0.921905,10.0701,9.53593
1.59421e-05,0.148285,0.349066,-0.827834,10.0857,9.54778
1.63042e-05,0.147412,0.349066,-0.733637,10.1013,9.55956
1.66665e-05,0.14654,0.349066,-0.639314,10.1168,9.57128
1.70337e-05,0.145667,0.383883,-0.544864,10.1323,9.58296
1.74119e-05,0.144794,0.461862,-0.450288,10.1478,9.59459
1.78089e-05,0.143922,0.574102,-0.355586,10.1632,9.6062
1.8233e-05,0.143049,0.743344,-0.260758,10.1785,9.61779
1.86927e-05,0.142176,1.00528,-0.165805,10.1938,9.62936
1.91928e-05,0.141304,1.38587,-0.0707261,10.2091,9.64091
1.97347e-05,0.140431,1.81995,0.024478,10.2242,9.65245
2.03217e-05,0.139558,2.17437,0.119807,10.2394,9.66398
2.09643e-05,0.138686,2.41158,0.215262,10.2545,9.67551
2.16795e-05,0.137813,2.56509,0.310842,10.2695,9.68702
2.24361e-05,0.13694,2.44346,0.406547,10.2845,9.69854
2.32374e-05,0.136068,2.44346,0.502377,10.2994,9.71005
2.40873e-05,0.135195,2.44346,0.598332,10.3143,9.72155
2.49901e-05,0.134322,2.44346,0.694411,10.3291,9.73305
2.59504e-05,0.133449,2.44346,0.790616,10.3439,9.74455
2.69735e-05,0.132577,2.44346,0.886946,10.3586,9.75605
2.80654e-05,0.131704,2.44346,0.983401,10.3732,9.76755
2.92327e-05,0.130831,2.44346,1.07998,10.3878,9.77904
3.0483e-05,0.129959,2.44346,1.17668,10.4023,9.79054
3.18248e-05,0.129086,2.44346,1.27351,10.4168,9.80203
