t,north,east,down,vel,vel_dwn,roll,pitch,speed,throttle
0,164.137,347.904,-20.7201,14.8516,-0.610984,8.61256,-0.256711,14.4196,0.26
0.01,164.137,347.904,-20.7201,14.8516,-0.610984,8.7177,-0.197344,14.4196,0.26
0.02,164.242,348.371,-20.7421,14.8408,-0.642668,8.81633,-0.134792,14.4196,0.26
0.03,164.242,348.371,-20.7421,14.8408,-0.642668,8.94694,-0.048663,14.4196,0.26
0.04,164.345,348.837,-20.7649,14.829,-0.670275,8.98437,-0.0189055,14.6446,0.26
0.05,164.345,348.837,-20.7649,14.829,-0.670275,9.03775,0.0284221,14.6446,0.26
0.06,164.345,348.837,-20.7649,14.829,-0.670275,9.12976,0.101658,14.6446,0.26
0.07,164.446,349.303,-20.7882,14.8168,-0.693781,9.19568,0.161614,14.6446,0.26
0.08,164.569,349.885,-20.8179,14.8008,-0.719412,9.29157,0.247819,14.6446,0.26
0.09,164.569,349.885,-20.8179,14.8008,-0.719412,9.35615,0.30575,14.6446,0.26
0.1,164.665,350.351,-20.8422,14.7894,-0.736707,9.43142,0.379625,14.5262,0.26
0.11,164.665,350.351,-20.8422,14.7894,-0.736707,9.49581,0.42922,14.5262,0.26
0.12,164.759,350.816,-20.8668,14.7775,-0.750958,9.57655,0.489292,14.5262,0.26
0.13,164.759,350.816,-20.8668,14.7775,-0.750958,9.63964,0.534921,14.5262,0.26
0.14,164.85,351.281,-20.8915,14.7677,-0.761455,9.73678,0.588624,14.5262,0.26
0.15,164.94,351.745,-20.9164,14.7581,-0.768219,9.79802,0.622139,14.4795,0.26
0.16,164.94,351.745,-20.9164,14.7581,-0.768219,9.89969,0.665594,14.4795,0.26
0.17,165.029,352.21,-20.942,14.7498,-0.773941,9.96533,0.691778,14.4795,0.26
0.18,165.029,352.21,-20.942,14.7498,-0.773941,10.0364,0.716321,14.4795,0.26
0.19,165.118,352.677,-20.9695,14.7425,-0.77741,10.1264,0.741108,14.4795,0.26
0.2,165.227,353.26,-21.0033,14.7326,-0.775695,10.2035,0.746165,14.3784,0.26
0.21,165.227,353.26,-21.0033,14.7326,-0.775695,10.2431,0.747988,14.3784,0.26
0.22,165.227,353.26,-21.0033,14.7326,-0.775695,10.2993,0.747718,14.3784,0.26
0.23,165.312,353.726,-21.0298,14.7251,-0.771427,10.3517,0.750608,14.3784,0.26
0.24,165.394,354.192,-21.0559,14.7181,-0.766619,10.4186,0.746003,14.3784,0.26
0.25,165.394,354.192,-21.0559,14.7181,-0.766619,10.4654,0.739695,14.3784,0.26
0.26,165.475,354.657,-21.0816,14.7114,-0.760126,10.5154,0.726225,14.2286,0.26
0.27,165.475,354.657,-21.0816,14.7114,-0.760126,10.5616,0.704246,14.2286,0.26
0.28,165.554,355.123,-21.107,14.7055,-0.752921,10.5913,0.694097,14.2286,0.26
0.29,165.63,355.588,-21.1319,14.6996,-0.745639,10.6193,0.676065,14.2286,0.26
0.3,165.63,355.588,-21.1319,14.6996,-0.745639,10.6378,0.657492,14.2286,0.26
0.31,165.705,356.053,-21.1563,14.6944,-0.735466,10.6578,0.636106,14.4519,0.25
0.32,165.705,356.053,-21.1563,14.6944,-0.735466,10.6636,0.616275,14.4519,0.25
0.33,165.796,356.634,-21.1861,14.6881,-0.722092,10.6612,0.59332,14.4519,0.25
0.34,165.866,357.099,-21.2094,14.6829,-0.712489,10.6602,0.573317,14.4519,0.25
0.35,165.866,357.099,-21.2094,14.6829,-0.712489,10.6397,0.550907,14.4519,0.25
0.36,165.935,357.564,-21.2322,14.6781,-0.701721,10.629,0.53605,14.312,0.25
0.37,165.935,357.564,-21.2322,14.6781,-0.701721,10.6106,0.524923,14.312,0.25
0.38,166.002,358.029,-21.2553,14.6737,-0.690498,10.574,0.502894,14.312,0.25
0.39,166.002,358.029,-21.2553,14.6737,-0.690498,10.55,0.490192,14.312,0.25
0.4,166.068,358.497,-21.2802,14.671,-0.679918,10.5129,0.469316,14.312,0.25
0.41,166.132,358.964,-21.3043,14.6677,-0.669254,10.469,0.450143,14.1964,0.25
0.42,166.132,358.964,-21.3043,14.6677,-0.669254,10.4205,0.425768,14.1964,0.25
0.43,166.209,359.548,-21.3335,14.6644,-0.65506,10.3746,0.403765,14.1964,0.25
0.44,166.209,359.548,-21.3335,14.6644,-0.65506,10.3258,0.384528,14.1964,0.25
0.45,166.269,360.015,-21.3561,14.6611,-0.643588,10.2745,0.359626,14.1964,0.25
0.46,166.269,360.015,-21.3561,14.6611,-0.643588,10.255,0.348173,14.1964,0.25
0.47,166.269,360.015,-21.3561,14.6611,-0.643588,10.255,0.348173,14.1964,0.25
0.48,166.269,360.015,-21.3561,14.6611,-0.643588,10.255,0.348173,14.1964,0.25
0.49,166.269,360.015,-21.3561,14.6611,-0.643588,10.255,0.348173,14.1964,0.25
0.5,166.269,360.015,-21.3561,14.6611,-0.643588,10.255,0.348173,14.1964,0.25
0.51,166.327,360.481,-21.378,14.6596,-0.631055,10.2095,0.331879,14.2911,0.25
0.52,166.327,360.481,-21.378,14.6596,-0.631055,10.1527,0.309352,14.2911,0.25
0.53,166.383,360.948,-21.3991,14.656,-0.618133,10.1074,0.290767,14.2911,0.25
0.54,166.383,360.948,-21.3991,14.656,-0.618133,10.0477,0.266697,14.2911,0.25
0.55,166.438,361.414,-21.4196,14.6535,-0.604952,9.98104,0.244284,14.2911,0.25
0.56,166.491,361.88,-21.4394,14.6511,-0.591876,9.90507,0.217336,14.1701,0.25
0.57,166.491,361.88,-21.4394,14.6511,-0.591876,9.86932,0.202225,14.1701,0.25
0.58,166.491,361.88,-21.4394,14.6511,-0.591876,9.83163,0.18614,14.1701,0.25
0.59,166.554,362.463,-21.4633,14.6478,-0.575432,9.76676,0.15716,14.1701,0.25
0.6,166.604,362.929,-21.4818,14.6463,-0.562212,9.68825,0.120386,14.1701,0.25
0.61,166.604,362.929,-21.4818,14.6463,-0.562212,9.64173,0.0986169,14.1701,0.25
0.62,166.651,363.395,-21.4997,14.6443,-0.547626,9.57133,0.0674827,14.2852,0.25
0.63,166.651,363.395,-21.4997,14.6443,-0.547626,9.49104,0.0389889,14.2852,0.25
0.64,166.71,363.978,-21.5228,14.6424,-0.531416,9.43547,0.0181107,14.2852,0.25
0.65,166.744,364.328,-21.5377,14.6419,-0.522806,9.3534,-0.0127259,14.2852,0.25
0.66,166.744,364.328,-21.5377,14.6419,-0.522806,9.29577,-0.0334321,14.2852,0.25
0.67,166.789,364.795,-21.5569,14.64,-0.511608,9.25179,-0.0506104,14.2472,0.25
0.68,166.789,364.795,-21.5569,14.64,-0.511608,9.14791,-0.0914883,14.2472,0.25
0.69,166.843,365.378,-21.5798,14.6397,-0.498519,9.10688,-0.101698,14.2472,0.25
0.7,166.843,365.378,-21.5798,14.6397,-0.498519,9.0218,-0.133976,14.2472,0.25
0.71,166.884,365.845,-21.5975,14.6392,-0.487885,8.95805,-0.1564,14.2472,0.25
0.72,166.924,366.311,-21.6144,14.6385,-0.476165,8.88787,-0.182844,14.329,0.25
0.73,166.924,366.311,-21.6144,14.6385,-0.476165,8.88787,-0.182844,14.329,0.25
0.74,166.924,366.311,-21.6144,14.6385,-0.476165,8.88787,-0.182844,14.329,0.25
0.75,166.924,366.311,-21.6144,14.6385,-0.476165,8.88787,-0.182844,14.329,0.25
0.76,166.924,366.311,-21.6144,14.6385,-0.476165,8.88787,-0.182844,14.329,0.25
0.77,166.924,366.311,-21.6144,14.6385,-0.476165,8.88787,-0.182844,14.329,0.25
0.78,166.924,366.311,-21.6144,14.6385,-0.476165,8.82302,-0.203476,14.329,0.25
0.79,166.962,366.778,-21.6307,14.6363,-0.464373,8.74346,-0.226721,14.329,0.25
0.8,166.962,366.778,-21.6307,14.6363,-0.464373,8.69629,-0.240161,14.329,0.25
0.81,166.999,367.244,-21.6465,14.6362,-0.453013,8.61579,-0.266249,14.329,0.25
0.82,166.999,367.244,-21.6465,14.6362,-0.453013,8.53438,-0.287968,14.329,0.25
0.83,167.034,367.71,-21.6617,14.6358,-0.442008,8.45121,-0.311336,14.3147,0.25
0.84,167.034,367.71,-21.6617,14.6358,-0.442008,8.36679,-0.334878,14.3147,0.25
0.85,167.077,368.293,-21.68,14.6355,-0.429234,8.28554,-0.350857,14.3147,0.25
0.86,167.109,368.76,-21.6942,14.6356,-0.42007,8.2022,-0.37039,14.3147,0.25
0.87,167.109,368.76,-21.6942,14.6356,-0.42007,8.11291,-0.391997,14.3147,0.25
0.88,167.14,369.226,-21.7079,14.6349,-0.411933,8.02804,-0.416776,14.1213,0.25
0.89,167.14,369.226,-21.7079,14.6349,-0.411933,7.96192,-0.436149,14.1213,0.25
0.9,167.171,369.693,-21.7222,14.6336,-0.403945,7.87732,-0.450304,14.1213,0.25
0.91,167.171,369.693,-21.7222,14.6336,-0.403945,7.80608,-0.462607,14.1213,0.25
0.92,167.2,370.16,-21.7386,14.633,-0.396714,7.72609,-0.480412,14.1213,0.25
0.93,167.229,370.627,-21.7543,14.6324,-0.388638,7.63545,-0.502074,14.2603,0.25
0.94,167.229,370.627,-21.7543,14.6324,-0.388638,7.52947,-0.526304,14.2603,0.25
0.95,167.263,371.211,-21.7728,14.6326,-0.377756,7.4589,-0.538691,14.2603,0.25
0.96,167.263,371.211,-21.7728,14.6326,-0.377756,7.389,-0.55589,14.2603,0.25
0.97,167.289,371.678,-21.7869,14.6332,-0.368469,7.28117,-0.578628,14.2603,0.25
0.98,167.289,371.678,-21.7869,14.6332,-0.368469,7.20007,-0.59967,14.2603,0.25
0.99,167.314,372.145,-21.8005,14.6333,-0.360986,7.12236,-0.613687,14.2329,0.25
1,167.337,372.612,-21.8137,14.6346,-0.354311,7.03507,-0.629383,14.2329,0.25
1.01,167.337,372.612,-21.8137,14.6346,-0.354311,6.95361,-0.647053,14.2329,0.25
1.02,167.36,373.078,-21.8264,14.6344,-0.347793,6.90319,-0.654676,14.2329,0.25
1.03,167.36,373.078,-21.8264,14.6344,-0.347793,6.79633,-0.678991,14.2329,0.25
1.04,167.386,373.662,-21.8417,14.635,-0.33884,6.72439,-0.692316,14.1091,0.25
1.05,167.386,373.662,-21.8417,14.635,-0.33884,6.63544,-0.708978,14.1091,0.25
1.06,167.406,374.129,-21.8534,14.6346,-0.330737,6.55357,-0.727715,14.1091,0.25
1.07,167.425,374.596,-21.8647,14.6353,-0.322042,6.46946,-0.743566,14.1091,0.25
1.08,167.425,374.596,-21.8647,14.6353,-0.322042,6.38779,-0.763961,14.1091,0.25
1.09,167.444,375.062,-21.8756,14.6357,-0.314159,6.33852,-0.778188,14.2064,0.25
1.1,167.444,375.062,-21.8756,14.6357,-0.314159,6.23579,-0.796194,14.2064,0.25
1.11,167.461,375.529,-21.8871,14.6364,-0.306195,6.15344,-0.813363,14.2064,0.25
1.12,167.461,375.529,-21.8871,14.6364,-0.306195,6.08766,-0.831281,14.2064,0.25
1.13,167.477,375.997,-21.9005,14.6374,-0.298903,5.99305,-0.85378,14.2064,0.25
1.14,167.495,376.581,-21.9164,14.6376,-0.290537,5.91546,-0.871282,14.2399,0.25
1.15,167.495,376.581,-21.9164,14.6376,-0.290537,5.84739,-0.881147,14.2399,0.25
1.16,167.509,377.048,-21.9285,14.6371,-0.28629,5.7598,-0.892714,14.2399,0.25
1.17,167.509,377.048,-21.9285,14.6371,-0.28629,5.65809,-0.913747,14.2399,0.25
1.18,167.522,377.516,-21.9399,14.6377,-0.279836,5.59186,-0.928138,14.2399,0.25
1.19,167.535,377.983,-21.9508,14.6381,-0.273154,5.49845,-0.945334,14.124,0.25
1.2,167.535,377.983,-21.9508,14.6381,-0.273154,5.432,-0.954244,14.124,0.25
1.21,167.546,378.45,-21.9613,14.6383,-0.26762,5.35191,-0.970621,14.124,0.25
1.22,167.546,378.45,-21.9613,14.6383,-0.26762,5.26865,-0.986869,14.124,0.25
1.23,167.557,378.917,-21.9714,14.6389,-0.262099,5.1905,-1.00093,14.124,0.25
1.24,167.567,379.384,-21.9811,14.6396,-0.255979,5.10104,-1.01944,14.2373,0.25
1.25,167.567,379.384,-21.9811,14.6396,-0.255979,5.05516,-1.02594,14.2373,0.25
1.26,167.579,379.968,-21.9927,14.6401,-0.248816,4.95563,-1.04409,14.2373,0.25
1.27,167.579,379.968,-21.9927,14.6401,-0.248816,4.89354,-1.05349,14.2373,0.25
1.28,167.588,380.435,-22.0015,14.6399,-0.244584,4.81628,-1.06442,14.2373,0.25
1.29,167.588,380.435,-22.0015,14.6399,-0.244584,4.77259,-1.07508,14.2373,0.25
1.3,167.596,380.902,-22.01,14.6409,-0.240251,4.70061,-1.09098,14.1736,0.25
