t,north,east,down,vel,roll,pitch,speed,throttle
0,nan,nan,nan,0,-0.0915509,1.51946,nan,nan
0.01,4.21964,101.117,-0.0484571,0.043741,-0.0907131,1.52063,nan,nan
0.02,4.21964,101.117,-0.0484571,0.043741,-0.0901191,1.51971,nan,nan
0.03,4.21909,101.117,-0.0493875,0.0434475,-0.0906456,1.51625,nan,nan
0.04,4.21909,101.117,-0.0493875,0.0434475,-0.088201,1.51924,nan,nan
0.05,4.21844,101.117,-0.0504394,0.0449338,-0.0885979,1.52106,0.864191,0
0.06,4.21844,101.117,-0.0504394,0.0449338,-0.0919562,1.51648,0.864191,0
0.07,4.21942,101.117,-0.0491999,0.0454732,-0.094268,1.51868,0.864191,0
0.08,4.22018,101.117,-0.0482011,0.0451184,-0.097179,1.51929,0.864191,0
0.09,4.22018,101.117,-0.0482011,0.0451184,-0.0975944,1.52398,0.864191,0
0.1,4.22075,101.117,-0.0474891,0.0444706,-0.0956355,1.52472,-0.803965,0
0.11,4.22075,101.117,-0.0474891,0.0444706,-0.0924746,1.52296,-0.803965,0
0.12,4.22121,101.118,-0.0468894,0.0438318,-0.090603,1.52139,-0.803965,0
0.13,4.22138,101.118,-0.0464797,0.0442472,-0.0911492,1.51702,-0.803965,0
0.14,4.22138,101.118,-0.0464797,0.0442472,-0.0914289,1.51587,-0.803965,0
0.15,4.22142,101.118,-0.0462167,0.042317,-0.0906721,1.51548,-0.803965,0
0.16,4.22142,101.118,-0.0462167,0.042317,-0.0926649,1.51503,-1.80162,0
0.17,4.22138,101.118,-0.0461395,0.0413985,-0.0927665,1.51393,-1.80162,0
0.18,4.22138,101.118,-0.0461395,0.0413985,-0.0946216,1.51465,-1.80162,0
0.19,4.2212,101.118,-0.0462482,0.0415522,-0.0924768,1.51172,-1.80162,0
0.2,4.2209,101.118,-0.0465222,0.0415007,-0.0913033,1.51526,-1.80162,0
0.21,4.2209,101.118,-0.0465222,0.0415007,-0.0851536,1.51489,-1.43135,0
0.22,4.22039,101.118,-0.0470405,0.0417432,-0.080601,1.51081,-1.43135,0
0.23,4.22039,101.118,-0.0470405,0.0417432,-0.0738419,1.51204,-1.43135,0
0.24,4.21987,101.118,-0.0475853,0.0421389,-0.0723633,1.51293,-1.43135,0
0.25,4.21987,101.118,-0.0475853,0.0421389,-0.0698683,1.51494,-1.43135,0
0.26,4.21924,101.118,-0.0481152,0.042625,-0.070781,1.51786,-0.608103,0
0.27,4.22021,101.118,-0.046365,0.042395,-0.0704553,1.51848,-0.608103,0
0.28,4.22021,101.118,-0.046365,0.042395,-0.067146,1.51783,-0.608103,0
0.29,4.22112,101.117,-0.0446129,0.0427583,-0.0682299,1.51387,-0.608103,0
0.3,4.22112,101.117,-0.0446129,0.0427583,-0.0678807,1.51511,-0.608103,0
0.31,4.22152,101.117,-0.0437928,0.0431681,-0.0668961,1.51804,-1.10494,0
0.32,4.22152,101.117,-0.0437928,0.0431681,-0.0619481,1.51788,-1.10494,0
0.33,4.22199,101.117,-0.0427632,0.0421488,-0.0617082,1.52133,-1.10494,0
0.34,4.2222,101.117,-0.0421408,0.0420815,-0.0615035,1.52083,-1.10494,0
0.35,4.2222,101.117,-0.0421408,0.0420815,-0.0620479,1.52079,-1.10494,0
0.36,4.22227,101.117,-0.0417545,0.0414428,-0.0624384,1.51986,-1.38967,0
0.37,4.22227,101.117,-0.0417545,0.0414428,-0.0628677,1.52274,-1.38967,0
0.38,4.22224,101.117,-0.0415812,0.040379,-0.0638366,1.52086,-1.38967,0
0.39,4.22208,101.116,-0.0415836,0.0419925,-0.0691219,1.5207,-1.38967,0
0.4,4.22208,101.116,-0.0415836,0.0419925,-0.070123,1.52062,-1.38967,0
0.41,4.22177,101.116,-0.0417656,0.0428528,-0.0704835,1.51702,-1.38967,0
0.42,4.22177,101.116,-0.0417656,0.0428528,-0.0720783,1.51825,1.42402,0
0.43,4.22119,101.116,-0.0421775,0.0426629,-0.0757556,1.52251,1.42402,0
0.44,4.22119,101.116,-0.0421775,0.0426629,-0.0793879,1.52128,1.42402,0
0.45,4.2206,101.116,-0.0426586,0.0436351,-0.0791854,1.52011,1.42402,0
0.46,4.22053,101.116,-0.0427031,0.0426502,-0.0768359,1.51809,1.42402,0
0.47,4.22053,101.116,-0.0427031,0.0426502,-0.077511,1.51707,-0.816563,0
0.48,4.22212,101.116,-0.0413598,0.0430114,-0.0824364,1.5188,-0.816563,0
0.49,4.22212,101.116,-0.0413598,0.0430114,-0.0830638,1.51406,-0.816563,0
0.5,4.22345,101.117,-0.0402856,0.0422152,-0.0837555,1.51407,-0.816563,0
0.51,4.22345,101.117,-0.0402856,0.0422152,-0.08688,1.51105,-0.816563,0
0.52,4.22456,101.117,-0.0394466,0.0424348,-0.0854859,1.50391,-0.816563,0
0.53,4.2256,101.117,-0.0386629,0.04234,-0.0833111,1.50486,-0.816563,0
0.54,4.2256,101.117,-0.0386629,0.04234,-0.0815617,1.5036,-0.816563,0
0.55,4.2262,101.118,-0.0382575,0.0428818,-0.0845939,1.50611,-0.816563,0
0.56,4.2262,101.118,-0.0382575,0.0428818,-0.0834489,1.50537,-0.816563,0
0.57,4.22663,101.118,-0.0380319,0.0428231,-0.0801932,1.50637,-0.88513,0
0.58,4.22663,101.118,-0.0380319,0.0428231,-0.0768228,1.50301,-0.88513,0
0.59,4.2269,101.118,-0.0379405,0.0427987,-0.0778017,1.49998,-0.88513,0
0.6,4.22702,101.119,-0.038013,0.0428192,-0.0833518,1.50289,-0.88513,0
0.61,4.22702,101.119,-0.038013,0.0428192,-0.0839235,1.50246,-0.88513,0
0.62,4.227,101.119,-0.0381133,0.0426117,-0.08463,1.50384,-1.2821,0
0.63,4.227,101.119,-0.0381133,0.0426117,-0.0858864,1.50899,-1.2821,0
0.64,4.22684,101.119,-0.0383952,0.0424399,-0.0858524,1.50504,-1.2821,0
0.65,4.2266,101.12,-0.0387096,0.0435005,-0.0858343,1.50433,-1.2821,0
0.66,4.2266,101.12,-0.0387096,0.0435005,-0.087268,1.5059,-1.2821,0
0.67,4.22673,101.12,-0.0387576,0.0441776,-0.0896639,1.50648,-1.2821,0
0.68,4.22673,101.12,-0.0387576,0.0441776,-0.0914635,1.50383,0.461673,0
0.69,4.22806,101.12,-0.0378832,0.043612,-0.0953833,1.50301,0.461673,0
0.7,4.22806,101.12,-0.0378832,0.043612,-0.0958053,1.50524,0.461673,0
0.71,4.22916,101.121,-0.0372279,0.0438106,-0.095346,1.50612,0.461673,0
0.72,4.23007,101.122,-0.0367476,0.044194,-0.090987,1.50726,0.461673,0
0.73,4.23007,101.122,-0.0367476,0.044194,-0.091705,1.50994,0.505588,0
0.74,4.23093,101.122,-0.036325,0.0448054,-0.0916771,1.51046,0.505588,0
0.75,4.23093,101.122,-0.036325,0.0448054,-0.0924182,1.50563,0.505588,0
0.76,4.23142,101.123,-0.036174,0.0454877,-0.0954928,1.50517,0.505588,0
0.77,4.23142,101.123,-0.036174,0.0454877,-0.0961359,1.50698,0.505588,0
0.78,4.23172,101.123,-0.0361372,0.0456748,-0.100474,1.50912,0.802792,0
0.79,4.23185,101.124,-0.0362308,0.0463131,-0.101562,1.50132,0.802792,0
0.8,4.23185,101.124,-0.0362308,0.0463131,-0.101577,1.50275,0.802792,0
0.81,4.23181,101.125,-0.0364712,0.0469448,-0.102731,1.49944,0.802792,0
0.82,4.23181,101.125,-0.0364712,0.0469448,-0.0995224,1.49942,0.802792,0
0.83,4.2317,101.125,-0.0367089,0.0452372,-0.1004,1.49674,0.969533,0
0.84,4.2317,101.125,-0.0367089,0.0452372,-0.0975571,1.49418,0.969533,0
0.85,4.23138,101.125,-0.0372431,0.0443108,-0.0992193,1.49181,0.969533,0
0.86,4.23106,101.126,-0.0378199,0.0432726,-0.098656,1.4918,0.969533,0
0.87,4.23106,101.126,-0.0378199,0.0432726,-0.0984448,1.49053,0.969533,0
0.88,4.23094,101.126,-0.0380349,0.0426906,-0.0975211,1.48567,-1.44018,0
0.89,4.23094,101.126,-0.0380349,0.0426906,-0.095271,1.48711,-1.44018,0
0.9,4.23144,101.126,-0.0371302,0.0421354,-0.0944433,1.48592,-1.44018,0
0.91,4.2318,101.126,-0.0364006,0.0408144,-0.0942972,1.48887,-1.44018,0
0.92,4.2318,101.126,-0.0364006,0.0408144,-0.0952452,1.4877,-1.44018,0
0.93,4.23203,101.126,-0.035807,0.0418055,-0.0919693,1.49034,-1.44018,0
0.94,4.23203,101.126,-0.035807,0.0418055,-0.0914993,1.4918,-1.59172,0
0.95,4.23214,101.126,-0.035199,0.0416763,-0.0886474,1.4972,-1.59172,0
0.96,4.23214,101.126,-0.035199,0.0416763,-0.0856987,1.498,-1.59172,0
0.97,4.23209,101.127,-0.0348306,0.0413351,-0.0882956,1.50145,-1.59172,0
0.98,4.23198,101.127,-0.0345832,0.0407221,-0.0891087,1.50207,-1.59172,0
0.99,4.23198,101.127,-0.0345832,0.0407221,-0.0874898,1.50279,1.00507,0
1,4.23178,101.127,-0.0344078,0.0405018,-0.0870203,1.50118,1.00507,0
1.01,4.23178,101.127,-0.0344078,0.0405018,-0.0829034,1.50169,1.00507,0
1.02,4.23148,101.127,-0.0343414,0.0410052,-0.0824652,1.50081,1.00507,0
1.03,4.23148,101.127,-0.0343414,0.0410052,-0.0807532,1.50258,1.00507,0
1.04,4.23106,101.127,-0.0343736,0.0414717,-0.0806559,1.49921,0.745532,0
1.05,4.2304,101.127,-0.034575,0.0420853,-0.0775588,1.49664,0.745532,0
1.06,4.2304,101.127,-0.034575,0.0420853,-0.0789412,1.49986,0.745532,0
1.07,4.22978,101.128,-0.0347791,0.0422629,-0.0785392,1.49405,0.745532,0
1.08,4.22978,101.128,-0.0347791,0.0422629,-0.0797344,1.49275,0.745532,0
1.09,4.2291,101.128,-0.0349947,0.0427838,-0.0792072,1.48983,1.4764,0
1.1,4.2291,101.128,-0.0349947,0.0427838,-0.0773579,1.49289,1.4764,0
1.11,4.23012,101.128,-0.0335558,0.0425034,-0.0768575,1.49358,1.4764,0
1.12,4.23095,101.128,-0.0323205,0.0422457,-0.0799813,1.49469,1.4764,0
1.13,4.23095,101.128,-0.0323205,0.0422457,-0.0794912,1.49216,1.4764,0
1.14,4.23161,101.127,-0.0312594,0.0423856,-0.0793979,1.48949,-0.59339,0
1.15,4.23161,101.127
