t,north,east,down,vel,roll,pitch,speed,throttle
0.62,156.549,-613.192,-21.3705,14.0721,-40.1342,3.10254,13.7112,0.3
0.63,156.549,-613.192,-21.3705,14.0721,-40.0346,3.10647,13.7112,0.3
0.64,156.234,-612.871,-21.4071,14.0752,-39.8988,3.10967,13.7112,0.3
0.65,156.234,-612.871,-21.4071,14.0752,-39.8187,3.10804,13.7112,0.3
0.66,155.924,-612.546,-21.4429,14.0803,-39.6695,3.10576,13.6164,0.3
0.67,155.924,-612.546,-21.4429,14.0803,-39.517,3.10183,13.6164,0.3
0.68,155.62,-612.214,-21.4782,14.0862,-39.3607,3.09861,13.6164,0.3
0.69,155.321,-611.877,-21.513,14.0925,-39.2025,3.08888,13.6164,0.3
0.7,155.321,-611.877,-21.513,14.0925,-39.0354,3.07112,13.6164,0.3
0.71,154.957,-611.448,-21.5557,14.1018,-38.8351,3.05411,13.7863,0.3
0.72,154.957,-611.448,-21.5557,14.1018,-38.7301,3.04371,13.7863,0.3
0.73,154.672,-611.099,-21.589,14.11,-38.5539,3.02683,13.7863,0.3
0.74,154.672,-611.099,-21.589,14.11,-38.4429,3.01515,13.7863,0.3
0.75,154.393,-610.745,-21.6217,14.1199,-38.2525,3.00167,13.7863,0.3
0.76,154.393,-610.745,-21.6217,14.1199,-38.0623,2.9877,13.7863,0.3
0.77,154.119,-610.387,-21.6538,14.128,-37.8704,2.97209,13.6671,0.3
0.78,153.851,-610.023,-21.6853,14.1355,-37.6755,2.95853,13.6671,0.3
0.79,153.851,-610.023,-21.6853,14.1355,-37.4756,2.94176,13.6671,0.3
0.8,153.589,-609.656,-21.7161,14.1448,-37.2695,2.91818,13.6671,0.3
0.81,153.589,-609.656,-21.7161,14.1448,-37.0619,2.89464,13.6671,0.3
0.82,153.27,-609.19,-21.7537,14.1574,-36.8493,2.87637,13.7644,0.3
0.83,153.02,-608.812,-21.7831,14.168,-36.5956,2.85246,13.7644,0.3
0.84,153.02,-608.812,-21.7831,14.168,-36.4197,2.83427,13.7644,0.3
0.85,152.773,-608.434,-21.8114,14.1783,-36.1949,2.81068,13.7644,0.3
0.86,152.773,-608.434,-21.8114,14.1783,-36.06,2.80092,13.7644,0.3
0.87,152.53,-608.052,-21.839,14.1891,-35.8253,2.77798,13.7915,0.3
0.88,152.53,-608.052,-21.839,14.1891,-35.593,2.75038,13.7915,0.3
0.89,152.293,-607.666,-21.8661,14.1987,-35.3553,2.7265,13.7915,0.3
0.9,152.062,-607.276,-21.8927,14.2102,-35.1189,2.70868,13.7915,0.3
0.91,152.062,-607.276,-21.8927,14.2102,-34.8831,2.68837,13.7915,0.3
0.92,151.781,-606.783,-21.9253,14.2248,-34.6406,2.66453,13.7949,0.3
