t,north,east,down,vel,vel_dwn,roll,pitch,speed,throttle
0,82.3048,1688.45,-21.8613,15.362,0.00279511,-0.240227,-2.32743,14.9123,0.25
0.01,82.3087,1688.94,-21.8607,15.3608,0.00363334,-0.243828,-2.32597,14.9123,0.25
0.02,82.3087,1688.94,-21.8607,15.3608,0.00363334,-0.247347,-2.3268,14.9123,0.25
0.03,82.3126,1689.43,-21.8602,15.3602,0.00428119,-0.254949,-2.3264,14.9226,0.25
0.04,82.3126,1689.43,-21.8602,15.3602,0.00428119,-0.251878,-2.33022,14.9226,0.25
0.05,82.3164,1689.92,-21.8597,15.3587,0.00517548,-0.25392,-2.331,14.9226,0.25
0.06,82.3211,1690.53,-21.8591,15.3582,0.00540529,-0.258183,-2.32864,14.9226,0.25
0.07,82.3211,1690.53,-21.8591,15.3582,0.00540529,-0.260223,-2.33231,14.9226,0.25
0.08,82.3264,1691.03,-21.8578,15.3577,0.00695595,-0.268621,-2.33538,15.0531,0.25
0.09,82.3264,1691.03,-21.8578,15.3577,0.00695595,-0.275648,-2.33584,15.0531,0.25
0.1,82.3316,1691.52,-21.8565,15.3584,0.00746885,-0.278519,-2.33578,15.0531,0.25
0.11,82.3316,1691.52,-21.8565,15.3584,0.00746885,-0.283395,-2.33556,15.0531,0.25
0.12,82.3366,1692.01,-21.8553,15.3585,0.00781788,-0.293575,-2.33229,15.0531,0.25
0.13,82.3415,1692.51,-21.8542,15.3585,0.00699517,-0.294998,-2.33018,14.8985,0.25
0.14,82.3415,1692.51,-21.8542,15.3585,0.00699517,-0.298417,-2.32767,14.8985,0.25
0.15,82.3464,1693,-21.8532,15.3574,0.00723828,-0.298213,-2.32762,14.8985,0.25
0.16,82.3464,1693,-21.8532,15.3574,0.00723828,-0.303266,-2.32481,14.8985,0.25
0.17,82.3523,1693.62,-21.8521,15.3556,0.0053916,-0.304241,-2.31997,14.8985,0.25
0.18,82.357,1694.11,-21.8514,15.3556,0.00446147,-0.308271,-2.32293,14.8985,0.25
0.19,82.357,1694.11,-21.8514,15.3553,0.00446147,-0.310116,-2.32137,14.9118,0.25
0.2,82.3616,1694.6,-21.8507,15.3551,0.00521637,-0.315988,-2.32189,14.9118,0.25
0.21,82.3616,1694.6,-21.8507,15.3551,0.00521637,-0.317753,-2.32113,14.9118,0.25
0.22,82.3662,1695.09,-21.8501,15.3542,0.00558816,-0.316544,-2.32061,14.9118,0.25
0.23,82.3662,1695.09,-21.8501,15.3542,0.00558816,-0.315088,-2.31925,14.9118,0.25
0.24,82.3708,1695.58,-21.8496,15.3533,0.00515729,-0.311617,-2.32156,14.957,0.25
0.25,82.3753,1696.08,-21.849,15.352,0.00618658,-0.313067,-2.32278,14.957,0.25
0.26,82.3753,1696.08,-21.849,15.352,0.00618658,-0.310892,-2.32194,14.957,0.25
0.27,82.381,1696.69,-21.8484,15.351,0.00657641,-0.31378,-2.32085,14.957,0.25
0.28,82.381,1696.69,-21.8484,15.351,0.00657641,-0.312394,-2.31835,14.957,0.25
0.29,82.3874,1697.18,-21.8465,15.3511,0.00682637,-0.312065,-2.31724,14.8281,0.25
0.3,82.3937,1697.68,-21.8446,15.3514,0.00872905,-0.312658,-2.31945,14.8281,0.25
0.31,82.3937,1697.68,-21.8446,15.3514,0.00872905,-0.314291,-2.31721,14.8281,0.25
0.32,82.3998,1698.17,-21.843,15.3522,0.00999954,-0.3142,-2.31553,14.8281,0.25
0.33,82.3998,1698.17,-21.843,15.3522,0.00999954,-0.312222,-2.31764,14.8281,0.25
0.34,82.4057,1698.66,-21.8413,15.3525,0.0121519,-0.308897,-2.32144,14.9219,0.25
0.35,82.4057,1698.66,-21.8413,15.3525,0.0121519,-0.311231,-2.32559,14.9219,0.25
0.36,82.4116,1699.16,-21.8398,15.3535,0.014394,-0.306044,-2.33409,14.9219,0.25
0.37,82.4188,1699.77,-21.8379,15.3539,0.0157239,-0.304167,-2.33701,14.9219,0.25
0.38,82.4188,1699.77,-21.8379,15.3539,0.0157239,-0.305868,-2.33943,14.9219,0.25
0.39,82.4245,1700.27,-21.8366,15.3539,0.0150196,-0.30141,-2.34219,14.9524,0.25
0.4,82.4245,1700.27,-21.8366,15.3539,0.0150196,-0.300593,-2.34075,14.9524,0.25
0.41,82.43,1700.76,-21.8353,15.3545,0.0154761,-0.297496,-2.33738,14.9524,0.25
0.42,82.43,1700.76,-21.8353,15.3545,0.0154761,-0.298156,-2.33728,14.9524,0.25
0.43,82.4356,1701.25,-21.8341,15.3539,0.016834,-0.296725,-2.34093,14.9524,0.25
0.44,82.441,1701.74,-21.833,15.3534,0.0181696,-0.290543,-2.34309,14.9032,0.25
0.45,82.441,1701.74,-21.833,15.3534,0.0181696,-0.289055,-2.34539,14.9032,0.25
0.46,82.4464,1702.23,-21.8319,15.3526,0.0174498,-0.28616,-2.34241,14.9032,0.25
0.47,82.4464,1702.23,-21.8319,15.3526,0.0174498,-0.281231,-2.34408,14.9032,0.25
0.48,82.4532,1702.85,-21.8306,15.3509,0.0167127,-0.280296,-2.34277,14.9032,0.25
0.49,82.4532,1702.85,-21.8306,15.3509,0.0167127,-0.281137,-2.34032,14.9032,0.25
0.5,82.4603,1703.34,-21.8295,15.3514,0.0159989,-0.278891,-2.33936,14.9371,0.25
0.51,82.4677,1703.83,-21.8285,15.3518,0.0169555,-0.272656,-2.33801,14.9371,0.25
0.52,82.4677,1703.83,-21.8285,15.3518,0.0169555,-0.271023,-2.33784,14.9371,0.25
0.53,82.475,1704.33,-21.8274,15.3494,0.0174134,-0.267854,-2.33648,14.9371,0.25
0.54,82.475,1704.33,-21.8274,15.3494,0.0174134,-0.267687,-2.33925,14.9371,0.25
0.55,82.4821,1704.82,-21.8264,15.3484,0.0177837,-0.266794,-2.33905,14.9324,0.25
0.56,82.4891,1705.31,-21.8255,15.348,0.0177259,-0.263404,-2.3403,14.9324,0.25
0.57,82.4891,1705.31,-21.8255,15.348,0.0177259,-0.261122,-2.34563,14.9324,0.25
0.58,82.4977,1705.92,-21.8245,15.3476,0.0191605,-0.259884,-2.34272,14.9324,0.25
0.59,82.4977,1705.92,-21.8245,15.3476,0.0191605,-0.259227,-2.34196,14.9324,0.25
0.6,82.5044,1706.41,-21.8237,15.3461,0.0172518,-0.259034,-2.34083,14.8489,0.25
0.61,82.5044,1706.41,-21.8237,15.3461,0.0172518,-0.260089,-2.33835,14.8489,0.25
0.62,82.511,1706.91,-21.823,15.3452,0.0180412,-0.25164,-2.33671,14.8489,0.25
0.63,82.5176,1707.4,-21.8222,15.3443,0.0187539,-0.249407,-2.3318,14.8489,0.25
0.64,82.5176,1707.4,-21.8222,15.3443,0.0187539,-0.247224,-2.3316,14.8489,0.25
0.65,82.5241,1707.89,-21.8214,15.3446,0.0195527,-0.241555,-2.33507,14.9125,0.25
0.66,82.5241,1707.89,-21.8214,15.3446,0.0195527,-0.236288,-2.33642,14.9125,0.25
0.67,82.5306,1708.38,-21.8206,15.3448,0.0217911,-0.231943,-2.33747,14.9125,0.25
0.68,82.5306,1708.38,-21.8206,15.3448,0.0217911,-0.226316,-2.33638,14.9125,0.25
0.69,82.5386,1708.99,-21.8197,15.3446,0.0215936,-0.220445,-2.33429,14.9125,0.25
0.7,82.5467,1709.49,-21.8191,15.345,0.022768,-0.219815,-2.33459,14.9146,0.25
0.71,82.5467,1709.49,-21.8191,15.345,0.022768,-0.215226,-2.33369,14.9146,0.25
0.72,82.5545,1709.98,-21.8184,15.3469,0.0222479,-0.216442,-2.33595,14.9146,0.25
0.73,82.5545,1709.98,-21.8184,15.3469,0.0222479,-0.217578,-2.33516,14.9146,0.25
0.74,82.5622,1710.48,-21.8177,15.348,0.0228079,-0.210827,-2.33725,14.9146,0.25
0.75,82.5698,1710.97,-21.817,15.3487,0.0233095,-0.204975,-2.34231,14.8514,0.25
0.76,82.5698,1710.97,-21.817,15.3487,0.0233095,-0.203349,-2.3404,14.8514,0.25
0.77,82.5773,1711.46,-21.8164,15.35,0.0222648,-0.199159,-2.33954,14.8514,0.25
0.78,82.5773,1711.46,-21.8164,15.35,0.0222648,-0.200344,-2.34439,14.8514,0.25
0.79,82.5864,1712.08,-21.8157,15.3497,0.0219995,-0.193063,-2.34645,14.8514,0.25
0.8,82.5864,1712.08,-21.8157,15.3497,0.0219995,-0.187937,-2.34737,14.8514,0.25
0.81,82.5936,1712.57,-21.8151,15.3508,0.0226299,-0.186147,-2.35277,14.9966,0.25
0.82,82.6007,1713.06,-21.8144,15.3509,0.0234437,-0.184455,-2.35488,14.9966,0.25
0.83,82.6007,1713.06,-21.8144,15.3509,0.0234437,-0.182502,-2.35572,14.9966,0.25
0.84,82.6077,1713.56,-21.8137,15.3502,0.0224691,-0.181785,-2.35357,14.9966,0.25
0.85,82.6077,1713.56,-21.8137,15.3502,0.0224691,-0.179933,-2.35286,14.9966,0.25
0.86,82.6146,1714.05,-21.8131,15.3494,0.0210609,-0.17526,-2.35298,14.8672,0.25
0.87,82.6146,1714.05,-21.8131,15.3494,0.0210609,-0.171468,-2.35309,14.8672,0.25
0.88,82.6146,1714.05,-21.8131,15.3494,0.0210609,-0.168237,-2.351,14.8672,0.25
0.89,82.6233,1714.66,-21.8123,15.3487,0.0197122,-0.166086,-2.35092,14.8672,0.25
0.9,82.6233,1714.66,-21.8123,15.3487,0.0197122,-0.165851,-2.35135,14.8672,0.25
0.91,82.6302,1715.15,-21.8117,15.3477,0.0190444,-0.166797,-2.34756,14.8672,0.25
0.92,82.6302,1715.15,-21.8117,15.3477,0.0190444,-0.163706,-2.34583,14.8672,0.25
0.93,82.6381,1715.65,-21.8107,15.3487,0.0180572,-0.15786,-2.34862,14.9006,0.25
0.94,82.6381,1715.65,-21.8107,15.3487,0.0180572,-0.159035,-2.3495,14.9006,0.25
0.95,82.6462,1716.14,-21.8095,15.3502,0.018639,-0.154927,-2.34751,14.9006,0.25
0.96,82.6462,1716.14,-21.8095,15.3502,0.018639,-0.1504,-2.3527,14.9006,0.25
0.97,82.6542,1716.63,-21.8083,15.3505,0.0176522,-0.148189,-2.35462,14.9006,0.25
0.98,82.6542,1716.63,-21.8083,15.3505,0.0176522,-0.14657,-2.35324,14.9006,0.25
0.99,82.6621,1717.13,-21.8073,15.3501,0.0166528,-0.139782,-2.34808,14.972,0.25
1,82.6621,1717.13,-21.8073,15.3501,0.0166528,-0.13824,-2.3475,14.972,0.25
1.01,82.6699,1717.62,-21.8063,15.35,0.0168425,-0.137453,-2.34341,14.972,0.25
1.02,82.6795,1718.24,-21.8053,15.3502,0.0167543,-0.133519,-2.34331,14.972,0.25
1.03,82.6795,1718.24,-21.8053,15.3502,0.0167543,-0.128757,-2.33758,14.972,0.25
1.04,82.6871,1718.73,-21.8045,15.3493,0.0178971,-0.12538,-2.33332,14.9578,0.25
