t,north,east,down,vel,roll,pitch,speed,throttle
0,nan,nan,nan,0,-0.295981,1.20996,0.192634,0
0.01,4.20794,101.137,0.0216372,0.0685439,-0.299609,1.21147,0.192634,0
0.02,4.20794,101.137,0.0216372,0.0685439,-0.302681,1.21013,0.192634,0
0.03,4.20833,101.137,0.021227,0.0686943,-0.303109,1.20689,0.192634,0
0.04,4.20833,101.137,0.021227,0.0686943,-0.305241,1.20834,0.192634,0
0.05,4.20847,101.137,0.0206742,0.068535,-0.305712,1.21448,0.735226,0
0.06,4.20847,101.137,0.0206742,0.068535,-0.306418,1.21366,0.735226,0
0.07,4.20842,101.137,0.0199768,0.0673079,-0.309946,1.21422,0.735226,0
0.08,4.20817,101.138,0.0192362,0.0675657,-0.317053,1.21478,0.735226,0
0.09,4.20817,101.138,0.0192362,0.0675657,-0.316027,1.21444,0.735226,0
0.1,4.20772,101.138,0.0184156,0.0689648,-0.317118,1.21355,-1.74995,0
0.11,4.20772,101.138,0.0184156,0.0689648,-0.320844,1.2096,-1.74995,0
0.12,4.20691,101.138,0.0172614,0.0690208,-0.323854,1.20362,-1.74995,0
0.13,4.20606,101.138,0.0162381,0.0688096,-0.322561,1.20302,-1.74995,0
0.14,4.20606,101.138,0.0162381,0.0688096,-0.323109,1.2024,-1.74995,0
0.15,4.20571,101.139,0.0155718,0.0677429,-0.328429,1.20258,-1.74995,0
0.16,4.20571,101.139,0.0155718,0.0677429,-0.328605,1.2012,-0.37517,0
0.17,4.20693,101.138,0.0158683,0.0673563,-0.329214,1.19857,-0.37517,0
0.18,4.20693,101.138,0.0158683,0.0673563,-0.328365,1.19488,-0.37517,0
0.19,4.20782,101.138,0.0159599,0.0673604,-0.327713,1.19573,-0.37517,0
0.2,4.20844,101.138,0.0158714,0.0673462,-0.326677,1.19473,-0.37517,0
0.21,4.20844,101.138,0.0158714,0.0673462,-0.329473,1.19863,1.28894,0
0.22,4.20883,101.138,0.015517,0.0665775,-0.33281,1.19917,1.28894,0
0.23,4.20883,101.138,0.015517,0.0665775,-0.334524,1.19603,1.28894,0
0.24,4.20889,101.138,0.0151053,0.0673019,-0.3388,1.19488,1.28894,0
0.25,4.20889,101.138,0.0151053,0.0673019,-0.341614,1.19393,1.28894,0
0.26,4.20873,101.138,0.0145634,0.0670272,-0.342939,1.19424,1.10643,0
0.27,4.20829,101.138,0.0136786,0.0664654,-0.344215,1.19344,1.10643,0
0.28,4.20829,101.138,0.0136786,0.0664654,-0.344781,1.19183,1.10643,0
0.29,4.20792,101.138,0.0130619,0.0669656,-0.347503,1.19242,1.10643,0
0.3,4.20792,101.138,0.0130619,0.0669656,-0.349575,1.19378,1.10643,0
0.31,4.20725,101.139,0.0120279,0.0678499,-0.35034,1.19368,1.6167,0
0.32,4.20725,101.139,0.0120279,0.0678499,-0.352211,1.1917,1.6167,0
0.33,4.20621,101.139,0.0107393,0.0690149,-0.352911,1.19446,1.6167,0
0.34,4.20522,101.139,0.00964274,0.0692084,-0.352849,1.19223,1.6167,0
0.35,4.20522,101.139,0.00964274,0.0692084,-0.350803,1.18993,1.6167,0
0.36,4.20476,101.139,0.00877219,0.0712396,-0.351331,1.18829,-1.34651,0
0.37,4.20476,101.139,0.00877219,0.0712396,-0.355099,1.18797,-1.34651,0
0.38,4.20609,101.139,0.00851665,0.0715308,-0.360305,1.18999,-1.34651,0
0.39,4.20708,101.139,0.00820358,0.0709107,-0.356643,1.18552,-1.34651,0
0.4,4.20708,101.139,0.00820358,0.0709107,-0.359612,1.18486,-1.34651,0
0.41,4.20779,101.139,0.00777301,0.0704887,-0.35915,1.18495,0.719724,0
0.42,4.20779,101.139,0.00777301,0.0704887,-0.358515,1.18514,0.719724,0
0.43,4.20833,101.139,0.00706758,0.0698981,-0.357044,1.18538,0.719724,0
0.44,4.20833,101.139,0.00706758,0.0698981,-0.35733,1.18159,0.719724,0
0.45,4.2085,101.139,0.00637509,0.0693673,-0.356837,1.18432,0.719724,0
0.46,4.20846,101.139,0.00555738,0.0687195,-0.356868,1.18591,0.719724,0
0.47,4.20846,101.139,0.00555738,0.0687195,-0.357915,1.18533,0.824914,0
0.48,4.20827,101.139,0.00462252,0.0676912,-0.363052,1.18103,0.824914,0
0.49,4.20827,101.139,0.00462252,0.0676912,-0.357955,1.18162,0.824914,0
0.5,4.2079,101.139,0.00366121,0.0684737,-0.356374,1.18078,0.824914,0
0.51,4.20733,101.14,0.00268117,0.0703887,-0.355332,1.18159,0.824914,0
0.52,4.20733,101.14,0.00268117,0.0703887,-0.354663,1.17984,1.60913,0
0.53,4.20639,101.14,0.00160238,0.0709706,-0.357751,1.18061,1.60913,0
0.54,4.20639,101.14,0.00160238,0.0709706,-0.35561,1.17758,1.60913,0
0.55,4.20551,101.141,0.000682356,0.0709806,-0.358259,1.17814,1.60913,0
0.56,4.20551,101.141,0.000682356,0.0709806,-0.3596,1.17404,1.60913,0
0.57,4.20517,101.141,0.000388773,0.0709931,-0.36309,1.17394,0.965643,0
0.58,4.2066,101.14,0.00172272,0.0699548,-0.365961,1.17275,0.965643,0
0.59,4.2066,101.14,0.00172272,0.0699548,-0.368786,1.17408,0.965643,0
0.6,4.20769,101.14,0.00279348,0.0693854,-0.369988,1.17338,0.965643,0
0.61,4.20769,101.14,0.00279348,0.0693854,-0.375292,1.17027,0.965643,0
0.62,4.2085,101.14,0.00361055,0.0686543,-0.3762,1.17338,1.59407,0
0.63,4.2085,101.14,0.00361055,0.0686543,-0.378306,1.1763,1.59407,0
0.64,4.20915,101.14,0.00432754,0.0683708,-0.380303,1.17822,1.59407,0
