t,north,east,down,vel,roll,pitch,speed,throttle
0.58,0.0052505,0.0263756,-0.0396743,0.0502744,-0.687813,-0.321708,-1.18965,0
0.59,0.00522338,0.0267141,-0.0393714,0.0497191,-0.6856,-0.317276,-1.18965,0
0.6,0.00522338,0.0267141,-0.0393714,0.0497191,-0.686122,-0.317378,-1.18965,0
0.61,0.00518365,0.027173,-0.0391839,0.0485026,-0.69143,-0.315079,-1.18965,0
0.62,0.00513191,0.0277233,-0.0391327,0.0475027,-0.69115,-0.31155,-0.812906,0
0.63,0.00513191,0.0277233,-0.0391327,0.0475027,-0.690043,-0.309849,-0.812906,0
0.64,0.00506801,0.0283654,-0.0392069,0.0477356,-0.69218,-0.312414,-0.812906,0
0.65,0.00506801,0.0283654,-0.0392069,0.0477356,-0.695213,-0.312407,-0.812906,0
0.66,0.00498407,0.0293393,-0.0394303,0.0483477,-0.698396,-0.312526,-0.812906,0
0.67,0.00498407,0.0293393,-0.0394303,0.0483477,-0.697091,-0.310549,-0.812906,0
0.68,0.00484254,0.0292,-0.039264,0.0476321,-0.699698,-0.310694,-0.950985,0
0.69,0.00465862,0.0282518,-0.0388401,0.0470978,-0.697431,-0.313373,-0.950985,0
0.7,0.00465862,0.0282518,-0.0388401,0.0470978,-0.703143,-0.312419,-0.950985,0
0.71,0.00448167,0.0275365,-0.0385929,0.0468856,-0.703923,-0.309496,-0.950985,0
0.72,0.00448167,0.0275365,-0.0385929,0.0468856,-0.70367,-0.31068,-0.950985,0
0.73,0.00429772,0.0270307,-0.0384541,0.0466336,-0.708927,-0.308832,0.916713,0
0.74,0.00429772,0.0270307,-0.0384541,0.0466336,-0.706602,-0.308699,0.916713,0
0.75,0.00412973,0.026739,-0.0384435,0.0466539,-0.707771,-0.306569,0.916713,0
0.76,0.00387862,0.0266396,-0.0385065,0.0467139,-0.709133,-0.305066,0.916713,0
0.77,0.00387862,0.0266396,-0.0385065,0.0467139,-0.713374,-0.303398,0.916713,0
0.78,0.00368619,0.0267658,-0.0386605,0.0480012,-0.712977,-0.301742,0.886668,0
0.79,0.00368619,0.0267658,-0.0386605,0.0480012,-0.715335,-0.30036,0.886668,0
0.8,0.00351279,0.0270404,-0.0388846,0.0471207,-0.71495,-0.303192,0.886668,0
0.81,0.00351279,0.0270404,-0.0388846,0.0471207,-0.717589,-0.302409,0.886668,0
0.82,0.00335601,0.0274543,-0.0392104,0.0477755,-0.721245,-0.30496,0.886668,0
0.83,0.00318572,0.0280089,-0.0396084,0.0477776,-0.718525,-0.301349,1.2816,0
0.84,0.00318572,0.0280089,-0.0396084,0.0477776,-0.718909,-0.301218,1.2816,0
0.85,0.00298363,0.0286794,-0.0400118,0.0478835,-0.721632,-0.300209,1.2816,0
0.86,0.00298363,0.0286794,-0.0400118,0.0478835,-0.725614,-0.298767,1.2816,0
0.87,0.00269739,0.0296709,-0.0406049,0.0492299,-0.725024,-0.299576,1.2816,0
0.88,0.00241409,0.0299316,-0.0409159,0.0488503,-0.726041,-0.301143,-0.666337,0
0.89,0.00241409,0.0299316,-0.0409159,0.0488503,-0.723275,-0.296734,-0.666337,0
0.9,0.00194528,0.0284323,-0.0403981,0.0465514,-0.726155,-0.296713,-0.666337,0
0.91,0.00194528,0.0284323,-0.0403981,0.0465514,-0.724407,-0.297341,-0.666337,0
0.92,0.00148522,0.0271877,-0.0399974,0.0462856,-0.723315,-0.293404,-0.666337,0
0.93,0.00148522,0.0271877,-0.0399974,0.0462856,-0.72493,-0.2917,-0.666337,0
0.94,0.00103978,0.0261985,-0.0396947,0.0446846,-0.726566,-0.295597,-0.87118,0
0.95,0.000601675,0.0254292,-0.0394517,0.0451367,-0.723484,-0.295025,-0.87118,0
0.96,0.000601675,0.0254292,-0.0394517,0.0451367,-0.721092,-0.292969,-0.87118,0
0.97,7.67077e-05,0.0247996,-0.0393355,0.0447414,-0.71845,-0.286085,-0.87118,0
0.98,7.67077e-05,0.0247996,-0.0393355,0.0447414,-0.720168,-0.286753,-0.87118,0
0.99,-0.000360489,0.0244878,-0.0393625,0.0437939,-0.718894,-0.286585,0.40794,0
1,-0.000360489,0.0244878,-0.0393625,0.0437939,-0.72023,-0.289471,0.40794,0
1.01,-0.000790111,0.0243295,-0.0394458,0.0430822,-0.724678,-0.287741,0.40794,0
1.02,-0.00123068,0.0243208,-0.0396186,0.0427211,-0.727984,-0.285417,0.40794,0
1.03,-0.00123068,0.0243208,-0.0396186,0.0427211,-0.729583,-0.285432,0.40794,0
1.04,-0.00176665,0.0244986,-0.0399434,0.0421671,-0.728979,-0.287117,-0.361071,0
1.05,-0.00176665,0.0244986,-0.0399434,0.0421671,-0.729513,-0.289319,-0.361071,0
1.06,-0.00205982,0.0247004,-0.0401904,0.0419378,-0.729646,-0.287577,-0.361071,0
1.07,-0.00205982,0.0247004,-0.0401904,0.0419378,-0.728746,-0.288587,-0.361071,0
1.08,-0.00254113,0.0251848,-0.040599,0.0417381,-0.730091,-0.291774,-0.361071,0
1.09,-0.00273944,0.0247554,-0.0403816,0.0423495,-0.728456,-0.292853,1.63443,0
1.1,-0.00273944,0.0247554,-0.0403816,0.0423495,-0.727154,-0.290928,1.63443,0
1.11,-0.00278579,0.0236359,-0.0397069,0.0421875,-0.732692,-0.29038,1.63443,0
1.12,-0.00278579,0.0236359,-0.0397069,0.0421875,-0.734138,-0.292572,1.63443,0
1.13,-0.00285787,0.022726,-0.0391709,0.0400729,-0.737845,-0.288571,1.63443,0
1.14,-0.00295423,0.0220059,-0.0387441,0.0401424,-0.738892,-0.287943,-1.10833,0
1.15,-0.00295423,0.0220059,-0.0387441,0.0401424,-0.735656,-0.285251,-1.10833,0
1.16,-0.00305391,0.021507,-0.0382672,0.0400462,-0.738212,-0.286271,-1.10833,0
1.17,-0.00305391,0.021507,-0.0382672,0.0400462,-0.735047,-0.281488,-1.10833,0
1.18,-0.00317273,0.0211566,-0.0378215,0.0402826,-0.735709,-0.27992,-1.10833,0
1.19,-0.00317273,0.0211566,-0.0378215,0.0402826,-0.735946,-0.2799,-1.10833,0
1.2,-0.00330588,0.0210675,-0.0375703,0.039851,-0.729645,-0.278841,0.916679,0
1.21,-0.00347262,0.0211248,-0.0373789,0.0404067,-0.726097,-0.282285,0.916679,0
1.22,-0.00347262,0.0211248,-0.0373789,0.0404067,-0.719583,-0.285085,0.916679,0
1.23,-0.00366897,0.0213285,-0.0372415,0.0406383,-0.718602,-0.283816,0.916679,0
1.24,-0.00366897,0.0213285,-0.0372415,0.0406383,-0.714153,-0.28425,0.916679,0
1.25,-0.00392326,0.0216784,-0.0371004,0.041595,-0.715871,-0.288233,-0.772283,0
1.26,-0.0042261,0.0221342,-0.0370316,0.0418151,-0.71745,-0.290803,-0.772283,0
1.27,-0.0042261,0.0221342,-0.0370316,0.0418151,-0.719194,-0.289946,-0.772283,0
1.28,-0.0046963,0.022848,-0.036984,0.0418152,-0.723889,-0.293923,-0.772283,0
1.29,-0.0046963,0.022848,-0.036984,0.0418152,-0.721877,-0.29666,-0.772283,0
1.3,-0.00496248,0.0231524,-0.0365871,0.0419246,-0.719977,-0.292651,1.08926,0
1.31,-0.00496248,0.0231524,-0.0365871,0.0419246,-0.718277,-0.293331,1.08926,0
1.32,-0.00486368,0.0225537,-0.0351336,0.0420841,-0.717054,-0.291144,1.08926,0
1.33,-0.00486368,0.0225537,-0.0351336,0.0420841,-0.716597,-0.285118,1.08926,0
1.34,-0.00481395,0.022156,-0.033812,0.0415219,-0.716037,-0.281201,1.08926,0
1.35,-0.00480126,0.0219539,-0.0326354,0.0425188,-0.718486,-0.277009,-1.19862,0
1.36,-0.00480126,0.0219539,-0.0326354,0.0425188,-0.721742,-0.274982,-1.19862,0
1.37,-0.00486483,0.0219299,-0.0316581,0.0430745,-0.720077,-0.279623,-1.19862,0
1.38,-0.00486483,0.0219299,-0.0316581,0.0430745,-0.720337,-0.280258,-1.19862,0
1.39,-0.00500929,0.0221409,-0.0306068,0.0437359,-0.721357,-0.282015,-1.19862,0
1.4,-0.00515632,0.0224639,-0.0298307,0.0436927,-0.720678,-0.280602,0.8528,0
1.41,-0.00515632,0.0224639,-0.0298307,0.0436927,-0.718625,-0.281216,0.8528,0
1.42,-0.00536242,0.0229144,-0.0291688,0.044688,-0.718043,-0.27808,0.8528,0
1.43,-0.00536242,0.0229144,-0.0291688,0.044688,-0.720474,-0.277794,0.8528,0
1.44,-0.00561063,0.0235126,-0.0286134,0.0463738,-0.720077,-0.274511,0.8528,0
1.45,-0.00561063,0.0235126,-0.0286134,0.0463738,-0.720331,-0.27836,0.8528,0
1.46,-0.00589671,0.0242665,-0.0280812,0.0476484,-0.719972,-0.277392,0.921022,0
1.47,-0.00621635,0.0251409,-0.0275803,0.0487575,-0.719357,-0.275907,0.921022,0
1.48,-0.00621635,0.0251409,-0.0275803,0.0487575,-0.718672,-0.276176,0.921022,0
1.49,-0.00668717,0.0263717,-0.0270998,0.0493807,-0.719472,-0.27362,0.921022,0
1.5,-0.00668717,0.0263717,-0.0270998,0.0493807,-0.72159,-0.273816,0.921022,0
1.51,-0.00683356,0.0269092,-0.0266377,0.04836,-0.724205,-0.278476,-0.667061,0
1.52,-0.00630419,0.0260265,-0.0257224,0.0486251,-0.722929,-0.278623,-0.667061,0
1.53,-0.00630419,0.0260265,-0.0257224,0.0486251,-0.723369,-0.273318,-0.667061,0
1.54,-0.00589216,0.025376,-0.0249505,0.0482795,-0.724019,-0.268926,-0.667061,0
1.55,-0.00589216,0.025376,-0.0249505,0.0482795,-0.725364,-0.26847,-0.667061,0
1.56,-0.00556348,0.0249477,-0.0242893,0.0483695,-0.723508,-0.268414,0.316218,0
1.57,-0.00556348,0.0249477,-0.0242893,0.0483695,-0.722314,-0.266045,0.316218,0
1.58,-0.00531858,0.0247039,-0.0237232,0.0471458,-0.722632,-0.267661,0.316218,0
