t,north,east,down,vel,vel_dwn,roll,pitch,speed,throttle
0,116.622,164.961,-20.758,14.9602,-0.535012,8.77126,-0.300167,14.4886,0.26
0.01,116.73,165.426,-20.7772,14.9477,-0.568846,8.90739,-0.222414,14.4886,0.26
0.02,116.73,165.426,-20.7772,14.9477,-0.568846,8.95523,-0.191836,14.4886,0.26
0.03,116.835,165.892,-20.7973,14.9358,-0.599245,9.08549,-0.104326,14.5349,0.26
0.04,116.835,165.892,-20.7973,14.9358,-0.599245,9.16575,-0.0430208,14.5349,0.26
0.05,116.962,166.474,-20.8232,14.921,-0.630609,9.25223,0.0438182,14.5349,0.26
0.06,116.962,166.474,-20.8232,14.921,-0.630609,9.33167,0.130387,14.5349,0.26
0.07,117.064,166.938,-20.8463,14.9098,-0.654696,9.40386,0.223062,14.5349,0.26
0.08,117.166,167.402,-20.8714,14.8977,-0.683721,9.49289,0.359915,14.4852,0.27
0.09,117.166,167.402,-20.8714,14.8977,-0.683721,9.56722,0.474729,14.4852,0.27
0.1,117.266,167.866,-20.897,14.8875,-0.717151,9.63445,0.596455,14.4852,0.27
0.11,117.266,167.866,-20.897,14.8875,-0.717151,9.68635,0.695152,14.4852,0.27
0.12,117.363,168.33,-20.9233,14.8779,-0.751662,9.76958,0.845423,14.4852,0.27
0.13,117.458,168.795,-20.9504,14.8693,-0.788644,9.84207,0.979465,14.3968,0.28
0.14,117.458,168.795,-20.9504,14.8693,-0.788644,9.91726,1.10935,14.3968,0.28
0.15,117.573,169.376,-20.9854,14.8594,-0.840727,9.97465,1.22151,14.3968,0.28
0.16,117.573,169.376,-20.9854,14.8594,-0.840727,10.0192,1.30263,14.3968,0.28
0.17,117.663,169.841,-21.0147,14.8508,-0.884216,10.0957,1.43455,14.3968,0.28
0.18,117.663,169.841,-21.0147,14.8508,-0.884216,10.1656,1.57121,14.3968,0.28
0.19,117.751,170.307,-21.0451,14.8451,-0.929283,10.2495,1.74027,14.4381,0.29
0.2,117.836,170.772,-21.0767,14.8387,-0.976049,10.3034,1.84922,14.4381,0.29
0.21,117.836,170.772,-21.0767,14.8387,-0.976049,10.3678,1.98633,14.4381,0.29
0.22,117.919,171.238,-21.1097,14.8317,-1.02445,10.4257,2.1231,14.4381,0.29
0.23,117.919,171.238,-21.1097,14.8317,-1.02445,10.4779,2.26267,14.4381,0.29
0.24,118,171.705,-21.1442,14.8257,-1.07542,10.5324,2.40346,14.4054,0.3
0.25,118,171.705,-21.1442,14.8257,-1.07542,10.5764,2.53922,14.4054,0.3
0.26,118.098,172.288,-21.1894,14.8194,-1.13987,10.6086,2.68158,14.4054,0.3
0.27,118.175,172.754,-21.2284,14.8124,-1.19394,10.6371,2.82241,14.4054,0.3
0.28,118.175,172.754,-21.2284,14.8124,-1.19394,10.6528,2.90585,14.4054,0.3
0.29,118.253,173.219,-21.2699,14.805,-1.25011,10.6665,3.02034,14.4019,0.31
0.3,118.253,173.219,-21.2699,14.805,-1.25011,10.6763,3.19745,14.4019,0.31
0.31,118.327,173.684,-21.313,14.7979,-1.30756,10.6794,3.31394,14.4019,0.31
0.32,118.4,174.149,-21.3576,14.7924,-1.36603,10.6736,3.45581,14.4019,0.31
0.33,118.4,174.149,-21.3576,14.7924,-1.36603,10.667,3.59994,14.4019,0.31
0.34,118.469,174.615,-21.4039,14.7859,-1.42458,10.6473,3.78233,14.3318,0.32
0.35,118.469,174.615,-21.4039,14.7859,-1.42458,10.6254,3.93371,14.3318,0.32
0.36,118.553,175.198,-21.4639,14.779,-1.49872,10.5969,4.08351,14.3318,0.32
0.37,118.553,175.198,-21.4639,14.779,-1.49872,10.5637,4.23417,14.3318,0.32
0.38,118.617,175.664,-21.5139,14.7734,-1.55936,10.5195,4.38813,14.3318,0.32
0.39,118.679,176.131,-21.5656,14.7672,-1.61981,10.4866,4.50819,14.3675,0.33
0.4,118.679,176.131,-21.5656,14.7672,-1.61981,10.4306,4.69044,14.3675,0.33
0.41,118.738,176.598,-21.619,14.7611,-1.68043,10.3794,4.84255,14.3675,0.33
0.42,118.738,176.598,-21.619,14.7611,-1.68043,10.3314,4.96216,14.3675,0.33
0.43,118.796,177.065,-21.6742,14.7568,-1.74153,10.2754,5.11209,14.3675,0.33
0.44,118.851,177.533,-21.7311,14.7515,-1.80093,10.1987,5.29753,14.1671,0.34
0.45,118.851,177.533,-21.7311,14.7515,-1.80093,10.1488,5.42511,14.1671,0.34
0.46,118.916,178.117,-21.8049,14.7464,-1.87968,10.1138,5.51991,14.1671,0.34
0.47,118.916,178.117,-21.8049,14.7464,-1.87968,10.0469,5.67742,14.1671,0.34
0.48,118.969,178.583,-21.8673,14.7404,-1.94206,9.97014,5.83316,14.1671,0.34
0.49,118.969,178.583,-21.8673,14.7404,-1.94206,9.88407,6.02463,14.1671,0.34
0.5,119.021,179.048,-21.9327,14.7332,-2.00584,9.8206,6.1525,14.3675,0.35
0.51,119.071,179.513,-21.9998,14.7274,-2.06886,9.74182,6.30446,14.3675,0.35
0.52,119.071,179.513,-21.9998,14.7274,-2.06886,9.6667,6.45621,14.3675,0.35
0.53,119.118,179.978,-22.0685,14.7226,-2.13001,9.59226,6.60509,14.3675,0.35
0.54,119.118,179.978,-22.0685,14.7226,-2.13001,9.51288,6.7558,14.3675,0.35
