t,north,east,down,vel,roll,pitch,speed,throttle
0,394.535,-128.376,-19.809,15.2683,-0.0618624,-2.74956,14.8612,0.24
0.01,394.502,-128.988,-19.8094,15.2674,-0.0596099,-2.75118,14.8754,0.24
0.02,394.502,-128.988,-19.8094,15.2674,-0.0592739,-2.75152,14.8754,0.24
0.03,394.476,-129.478,-19.8097,15.2667,-0.065571,-2.75073,14.8754,0.24
0.04,394.449,-129.968,-19.8099,15.2666,-0.0669745,-2.7505,14.8754,0.24
0.05,394.449,-129.968,-19.8099,15.2666,-0.0650851,-2.74884,14.8754,0.24
0.06,394.423,-130.457,-19.81,15.2664,-0.0659989,-2.75137,14.8569,0.24
0.07,394.423,-130.457,-19.81,15.2664,-0.0651378,-2.75225,14.8569,0.24
0.08,394.396,-130.946,-19.81,15.2666,-0.0662766,-2.74894,14.8569,0.24
0.09,394.37,-131.435,-19.8099,15.2665,-0.0695237,-2.74743,14.8569,0.24
0.1,394.37,-131.435,-19.8099,15.2665,-0.0702074,-2.74521,14.8569,0.24
0.11,394.336,-132.046,-19.8097,15.2665,-0.0680819,-2.75066,15.0081,0.24
0.12,394.336,-132.046,-19.8097,15.2665,-0.0665934,-2.74945,15.0081,0.24
0.13,394.309,-132.535,-19.8094,15.266,-0.0660379,-2.75015,15.0081,0.24
0.14,394.284,-133.027,-19.8101,15.2676,-0.0626772,-2.74989,15.0081,0.24
0.15,394.284,-133.027,-19.8101,15.2676,-0.0641531,-2.74899,15.0081,0.24
0.16,394.258,-133.519,-19.8106,15.2688,-0.0659823,-2.74541,14.8332,0.24
0.17,394.258,-133.519,-19.8106,15.2688,-0.063964,-2.74123,14.8332,0.24
0.18,394.232,-134.011,-19.8112,15.2697,-0.0654223,-2.74023,14.8332,0.24
0.19,394.232,-134.011,-19.8112,15.2697,-0.0677148,-2.73927,14.8332,0.24
0.2,394.206,-134.502,-19.8116,15.27,-0.067337,-2.73863,14.8332,0.24
0.21,394.174,-135.116,-19.8121,15.2701,-0.066917,-2.7383,14.8559,0.24
0.22,394.174,-135.116,-19.8121,15.2701,-0.0651751,-2.73911,14.8559,0.24
0.23,394.147,-135.606,-19.8123,15.2702,-0.0653604,-2.74478,14.8559,0.24
0.24,394.147,-135.606,-19.8123,15.2702,-0.0667836,-2.73704,14.8559,0.24
0.25,394.121,-136.096,-19.8125,15.2706,-0.0631985,-2.73617,14.8559,0.24
0.26,394.121,-136.096,-19.8126,15.2706,-0.0614868,-2.73791,14.8559,0.24
0.27,394.095,-136.586,-19.8126,15.2704,-0.0667708,-2.73902,14.7354,0.25
0.28,394.069,-137.075,-19.8126,15.2704,-0.0699483,-2.73795,14.7354,0.25
0.29,394.069,-137.075,-19.8126,15.2704,-0.068116,-2.74077,14.7354,0.25
0.3,394.042,-137.564,-19.8126,15.2705,-0.071468,-2.74252,14.7354,0.25
0.31,394.042,-137.564,-19.8126,15.2705,-0.0752233,-2.74232,14.7354,0.25
0.32,394.01,-138.176,-19.8124,15.2711,-0.0815216,-2.74988,14.8967,0.25
0.33,393.983,-138.664,-19.8122,15.271,-0.0836059,-2.75095,14.8967,0.25
0.34,393.983,-138.664,-19.8122,15.271,-0.0796774,-2.75107,14.8967,0.25
0.35,393.956,-139.154,-19.813,15.2711,-0.0875187,-2.7474,14.8967,0.25
0.36,393.956,-139.154,-19.813,15.2711,-0.086688,-2.75015,14.8967,0.25
0.37,393.929,-139.643,-19.814,15.2713,-0.0844316,-2.75207,14.8385,0.25
0.38,393.902,-140.132,-19.8147,15.2721,-0.0809542,-2.75814,14.8385,0.25
0.39,393.902,-140.132,-19.8147,15.2721,-0.0823381,-2.76515,14.8385,0.25
0.4,393.875,-140.621,-19.8152,15.2728,-0.0865425,-2.76558,14.8385,0.25
0.41,393.875,-140.621,-19.8152,15.2728,-0.0861859,-2.76636,14.8385,0.25
0.42,393.841,-141.232,-19.8155,15.2725,-0.0866106,-2.76636,14.7273,0.25
0.43,393.841,-141.232,-19.8155,15.2725,-0.0931088,-2.76628,14.7273,0.25
0.44,393.814,-141.721,-19.8156,15.2729,-0.0905454,-2.76245,14.7273,0.25
