t,north,east,down,vel,roll,pitch,speed,throttle
0,nan,nan,nan,0,-2.12901,14.5561,nan,nan
0.01,nan,nan,nan,0,-2.10257,14.5604,nan,nan
0.02,0.305993,72.4363,-17.9234,19.2172,-2.08265,14.5632,nan,nan
0.03,0.305993,72.4363,-17.9234,19.2172,-2.07536,14.5644,nan,nan
0.04,0.337956,73.2027,-18.1743,19.2184,-2.05425,14.57,nan,nan
0.05,0.36348,73.8151,-18.3754,19.2189,-2.03514,14.5826,19.6066,0.006
0.06,0.36348,73.8151,-18.3754,19.2189,-2.00859,14.5898,19.6066,0.006
0.07,0.388102,74.4254,-18.5775,19.2161,-1.99118,14.5988,19.6066,0.006
0.08,0.388102,74.4254,-18.5775,19.2161,-1.97102,14.6121,19.6066,0.006
0.09,0.413063,75.0359,-18.7793,19.2154,-1.95082,14.621,19.6066,0.006
0.1,0.438351,75.6466,-18.981,19.2123,-1.93197,14.6281,19.6123,0.006
0.11,0.438351,75.6466,-18.981,19.2123,-1.91407,14.6366,19.6123,0.006
0.12,0.463947,76.2574,-19.1824,19.2107,-1.90115,14.6444,19.6123,0.006
0.13,0.463947,76.2574,-19.1824,19.2107,-1.87862,14.653,19.6123,0.006
0.14,0.496385,77.0212,-19.4342,19.2103,-1.86402,14.6594,19.6123,0.006
0.15,0.496385,77.0212,-19.4342,19.2103,-1.84152,14.6646,19.6123,0.006
0.16,0.522641,77.6323,-19.6355,19.209,-1.8329,14.6713,19.5305,0.006
0.17,0.549142,78.2437,-19.8367,19.209,-1.81325,14.6755,19.5305,0.006
0.18,0.549142,78.2437,-19.8367,19.209,-1.79641,14.6811,19.5305,0.006
0.19,0.575918,78.8553,-20.0379,19.2099,-1.77951,14.6866,19.5305,0.006
0.2,0.575918,78.8553,-20.0379,19.2099,-1.75839,14.687,19.5305,0.006
0.21,0.602983,79.467,-20.239,19.2049,-1.74973,14.6854,19.6454,0.0011
0.22,0.602983,79.467,-20.239,19.2049,-1.74931,14.6705,19.6454,0.0011
0.23,0.630003,80.0773,-20.4398,19.1109,-1.69912,14.6464,19.6454,0.0011
0.24,0.663067,80.8355,-20.6886,18.96,-1.64355,14.6012,19.6454,0.0011
0.25,0.663067,80.8355,-20.6886,18.96,-1.59692,14.5402,19.6454,0.0011
0.26,0.688549,81.4378,-20.8859,18.8428,-1.55981,14.4791,19.6038,0.001
