t,north,east,down,vel,roll,pitch,speed,throttle
0,133.11,233.269,-20.4592,15.058,0.383504,-2.17709,14.6429,0.24
0.01,133.11,233.269,-20.4592,15.058,0.378795,-2.17922,14.6429,0.24
0.02,133.27,233.852,-20.4571,15.0584,0.376569,-2.18067,14.6429,0.24
0.03,133.27,233.852,-20.4571,15.0584,0.377622,-2.18063,14.6429,0.24
0.04,133.398,234.318,-20.4553,15.0591,0.378286,-2.18137,14.6429,0.24
0.05,133.398,234.318,-20.4553,15.0591,0.377963,-2.18131,14.6429,0.24
0.06,133.526,234.783,-20.4534,15.0599,0.380015,-2.18321,14.7228,0.24
0.07,133.526,234.783,-20.4534,15.0599,0.379883,-2.18405,14.7228,0.24
0.08,133.654,235.249,-20.4514,15.06,0.377011,-2.18406,14.7228,0.24
0.09,133.782,235.714,-20.4494,15.0603,0.379589,-2.18224,14.7228,0.24
0.1,133.782,235.714,-20.4494,15.0603,0.380294,-2.18197,14.7228,0.24
0.11,133.941,236.296,-20.4468,15.0598,0.376768,-2.18181,14.69,0.24
0.12,133.941,236.296,-20.4468,15.0598,0.378126,-2.17975,14.69,0.24
0.13,134.037,236.645,-20.4452,15.0597,0.377192,-2.17963,14.69,0.24
0.14,134.037,236.645,-20.4452,15.0597,0.375502,-2.17964,14.69,0.24
0.15,134.196,237.227,-20.4425,15.0589,0.371319,-2.17952,14.69,0.24
0.16,134.323,237.692,-20.4403,15.058,0.367761,-2.17661,14.7347,0.24
0.17,134.323,237.692,-20.4403,15.058,0.367315,-2.17407,14.7347,0.24
0.18,134.45,238.157,-20.438,15.0574,0.367391,-2.17274,14.7347,0.24
0.19,134.45,238.157,-20.438,15.0574,0.367851,-2.17371,14.7347,0.24
0.2,134.579,238.623,-20.437,15.0567,0.362681,-2.17696,14.7347,0.24
0.21,134.579,238.623,-20.437,15.0567,0.362133,-2.17349,14.7347,0.24
0.22,134.707,239.089,-20.4357,15.0551,0.361899,-2.17002,14.687,0.24
0.23,134.836,239.555,-20.4344,15.0541,0.361252,-2.16741,14.687,0.24
0.24,134.836,239.555,-20.4344,15.0541,0.358163,-2.16527,14.687,0.24
0.25,134.996,240.137,-20.4327,15.0547,0.360339,-2.1674,14.687,0.24
0.26,134.996,240.137,-20.4327,15.0547,0.356505,-2.16529,14.687,0.24
0.27,135.124,240.603,-20.4313,15.0556,0.352294,-2.16128,14.6563,0.24
