t,north,east,down,vel,vel_dwn,roll,pitch,speed,throttle
0,68.6508,33.9098,-23.2528,13.6398,-0.375435,48.3812,0.505426,13.3143,0.3
0.01,68.6508,33.9098,-23.2528,13.6398,-0.375435,48.3564,0.515978,13.3143,0.3
0.02,68.6508,33.9098,-23.2528,13.6398,-0.375435,48.3285,0.520609,13.3143,0.3
0.03,69.1865,34.016,-23.2672,13.6541,-0.368354,48.3123,0.517586,13.3143,0.3
0.04,69.6127,34.1131,-23.2786,13.6653,-0.361264,48.2831,0.508945,13.3143,0.3
0.05,69.6127,34.1131,-23.2786,13.6653,-0.361264,48.2456,0.494758,13.3127,0.3
0.06,70.0366,34.2209,-23.2899,13.6773,-0.353645,48.2038,0.480929,13.3127,0.3
0.07,70.0366,34.2209,-23.2899,13.6773,-0.353645,48.1648,0.454927,13.3127,0.3
0.08,70.4581,34.3394,-23.301,13.689,-0.345256,48.1362,0.438103,13.3127,0.3
0.09,70.4581,34.3394,-23.301,13.689,-0.345256,48.0875,0.406374,13.3127,0.3
0.1,70.4581,34.3394,-23.301,13.689,-0.345256,48.0875,0.406374,13.3127,0.3
0.11,70.4581,34.3394,-23.301,13.689,-0.345256,48.0875,0.406374,13.3127,0.3
0.12,70.4581,34.3394,-23.301,13.689,-0.345256,48.0875,0.406374,13.3127,0.3
0.13,70.4581,34.3394,-23.301,13.689,-0.345256,48.0875,0.406374,13.3127,0.3
0.14,70.8795,34.4658,-23.311,13.7041,-0.335621,48.0678,0.393462,13.3127,0.3
0.15,70.8795,34.4658,-23.311,13.7041,-0.335621,48.0105,0.358783,13.3962,0.3
0.16,71.4019,34.6386,-23.3233,13.7218,-0.323425,47.9508,0.325293,13.3962,0.3
0.17,71.4019,34.6386,-23.3233,13.7218,-0.323425,47.8709,0.284663,13.3962,0.3
0.18,71.8161,34.7884,-23.333,13.7364,-0.314877,47.8138,0.256892,13.3962,0.3
0.19,71.8161,34.7884,-23.333,13.7364,-0.314877,47.7382,0.23012,13.3962,0.3
