t,north,east,down,vel,vel_dwn,roll,pitch,speed,throttle
0,98.1498,124.338,-21.9954,10.5807,-0.262838,6.88212,0.138018,10.3739,0.24
0.01,98.2387,124.663,-22.0076,10.5909,-0.293203,7.01906,0.193846,10.3739,0.24
0.02,98.2387,124.663,-22.0076,10.5909,-0.293203,7.17293,0.26539,10.3739,0.24
0.03,98.3259,124.988,-22.0203,10.601,-0.321817,7.31421,0.329822,10.2466,0.24
0.04,98.3259,124.988,-22.0203,10.601,-0.321817,7.36779,0.355694,10.2466,0.24
0.05,98.4323,125.397,-22.0369,10.6119,-0.354432,7.48875,0.424042,10.2466,0.24
0.06,98.5155,125.725,-22.0507,10.6189,-0.378588,7.59581,0.496763,10.2466,0.24
0.07,98.5155,125.725,-22.0507,10.6189,-0.378588,7.69253,0.564199,10.2466,0.24
0.08,98.5969,126.053,-22.0649,10.626,-0.401638,7.79114,0.644857,10.1779,0.24
0.09,98.5969,126.053,-22.0649,10.626,-0.401638,7.86163,0.71934,10.1779,0.24
0.1,98.6765,126.383,-22.0796,10.6319,-0.423623,7.9281,0.787658,10.1779,0.24
0.11,98.7544,126.713,-22.0946,10.6388,-0.443877,7.97363,0.845412,10.1779,0.24
0.12,98.7544,126.713,-22.0946,10.6388,-0.443877,8.02091,0.915798,10.1779,0.24
0.13,98.8306,127.044,-22.1101,10.6446,-0.462609,8.06118,0.988293,10.3005,0.24
0.14,98.8306,127.044,-22.1101,10.6446,-0.462609,8.09497,1.05085,10.3005,0.24
0.15,98.9288,127.456,-22.1355,10.6511,-0.484189,8.12639,1.11443,10.3005,0.24
0.16,98.9288,127.456,-22.1355,10.6511,-0.484189,8.15908,1.18945,10.3005,0.24
0.17,99.0051,127.786,-22.1555,10.6563,-0.499543,8.17826,1.23069,10.3005,0.24
0.18,99.0795,128.117,-22.1756,10.6605,-0.513004,8.20466,1.2989,10.2704,0.24
0.19,99.0795,128.117,-22.1756,10.6605,-0.513004,8.22142,1.35269,10.2704,0.24
0.2,99.152,128.449,-22.1955,10.6652,-0.525155,8.23348,1.38918,10.2704,0.24
0.21,99.152,128.449,-22.1955,10.6652,-0.525155,8.24955,1.43548,10.2704,0.24
0.22,99.2228,128.782,-22.2154,10.6687,-0.534383,8.26826,1.49488,10.2704,0.24
0.23,99.3088,129.198,-22.24,10.6741,-0.543938,8.28203,1.53465,10.3368,0.24
0.24,99.3088,129.198,-22.24,10.6741,-0.543938,8.29689,1.5725,10.3368,0.24
0.25,99.3758,129.532,-22.2596,10.6785,-0.550015,8.31573,1.60827,10.3368,0.24
0.26,99.3758,129.532,-22.2596,10.6785,-0.550015,8.32811,1.63145,10.3368,0.24
0.27,99.441,129.866,-22.279,10.6825,-0.554361,8.34061,1.65209,10.3368,0.24
0.28,99.441,129.866,-22.279,10.6825,-0.554361,8.35524,1.67184,10.3368,0.24
0.29,99.5047,130.201,-22.2983,10.687,-0.557006,8.37203,1.69596,10.361,0.24
0.3,99.5669,130.537,-22.3173,10.6909,-0.558793,8.3969,1.71603,10.361,0.24
0.31,99.5669,130.537,-22.3173,10.6909,-0.558793,8.415,1.73587,10.361,0.24
0.32,99.6275,130.872,-22.3362,10.6945,-0.558369,8.43152,1.7483,10.361,0.24
0.33,99.6275,130.872,-22.3362,10.6945,-0.558369,8.44669,1.75841,10.361,0.24
0.34,99.6867,131.209,-22.3548,10.6988,-0.557058,8.45485,1.76123,10.3455,0.24
0.35,99.6867,131.209,-22.3548,10.6988,-0.557058,8.47328,1.7667,10.3455,0.24
0.36,99.7632,131.629,-22.3837,10.7033,-0.555214,8.48339,1.76808,10.3455,0.24
0.37,99.8225,131.965,-22.4061,10.7077,-0.554687,8.4961,1.76692,10.3455,0.24
0.38,99.8225,131.965,-22.4061,10.7077,-0.554687,8.50089,1.76669,10.3455,0.24
0.39,99.8801,132.302,-22.4278,10.7101,-0.552989,8.51162,1.76311,10.3699,0.24
0.4,99.8801,132.302,-22.4278,10.7101,-0.552989,8.51545,1.75147,10.3699,0.24
0.41,99.936,132.639,-22.449,10.7141,-0.550515,8.52019,1.74408,10.3699,0.24
0.42,99.936,132.639,-22.449,10.7141,-0.550515,8.52002,1.73203,10.3699,0.24
0.43,99.9902,132.977,-22.4697,10.7172,-0.547151,8.52395,1.72085,10.3699,0.24
0.44,100.043,133.315,-22.4899,10.7215,-0.544941,8.52774,1.70476,10.4765,0.23
0.45,100.043,133.315,-22.4899,10.7215,-0.544941,8.51732,1.68883,10.4765,0.23
0.46,100.106,133.738,-22.5145,10.7269,-0.539626,8.50839,1.67521,10.4765,0.23
0.47,100.106,133.738,-22.5145,10.7269,-0.539626,8.50023,1.65641,10.4765,0.23
0.48,100.155,134.078,-22.5337,10.7316,-0.533777,8.48704,1.63549,10.4765,0.23
0.49,100.203,134.417,-22.5524,10.7354,-0.527426,8.46422,1.6126,10.2434,0.23
0.5,100.203,134.417,-22.5524,10.7354,-0.527426,8.441,1.60302,10.2434,0.23
0.51,100.249,134.757,-22.5705,10.7385,-0.523441,8.41798,1.59013,10.2434,0.23
0.52,100.249,134.757,-22.5705,10.7385,-0.523441,8.39011,1.57781,10.2434,0.23
