z0,vx0,i,u0_opt,u1_opt,u2_opt,x,z,v_abs,v_arg,vx,vz,gripx,gripz,aoa
1.3,10,43,0.17151,0.063882,1.4612,2.10425,1.85247,6.71018,-0.00593119,6.71006,-0.0397991,2.17329,1.45847,0.0698132
1.3,10,44,0.175384,0.0603913,1.44812,2.23845,1.85167,6.71086,-0.00942186,6.71056,-0.0632278,2.31127,1.45836,0.0698132
1.3,10,45,0.185084,0.0569007,1.43826,2.37266,1.85041,6.71025,-0.0129125,6.70969,-0.0866438,2.44798,1.45756,0.0698132
1.3,10,46,0.211587,0.05341,1.43102,2.50685,1.84868,6.70614,-0.0164032,6.70524,-0.109997,2.58365,1.45612,0.0698132
1.3,10,47,0.286821,0.0499193,1.42595,2.64096,1.84648,6.69134,-0.0198939,6.69001,-0.133108,2.71837,1.45404,0.0698132
1.3,10,48,0.5,0.0464286,1.42274,2.77476,1.84381,6.63812,-0.0233845,6.63631,-0.155215,2.85207,1.45135,0.0698132
1.3,10,49,0.249943,0.042938,1.42118,2.90749,1.84071,6.41236,-0.0268752,6.41004,-0.172313,2.98403,1.4481,0.0698132
1.3,10.25,0,1.29358e-07,0.112639,0.349066,-5,1.3,10.25,4.20315e-30,10.25,-1.34906e-30,-4.61113,1.20631,0.112639
1.3,10.25,1,1.31561e-07,0.109149,0.349066,-4.795,1.3,10.4103,0.0393355,10.4023,0.409389,-4.40646,1.20495,0.0698132
1.3,10.25,2,1.49502e-07,0.112639,0.349066,-4.58695,1.30819,10.4942,0.0595362,10.4756,0.624417,-4.19808,1.2145,0.0531032
1.3,10.25,3,1.75591e-07,0.11613,0.349066,-4.37744,1.32068,10.5553,0.0722032,10.5278,0.761468,-3.98824,1.22834,0.0439269
1.3,10.25,4,2.19181e-07,0.119621,0.349066,-4.16689,1.33591,10.6054,0.0807438,10.5709,0.855392,-3.77737,1.24493,0.0388769
1.3,10.25,5,3.16988e-07,0.123111,0.349066,-3.95547,1.35301,10.65,0.087054,10.6096,0.925952,-3.56564,1.2634,0.0360574
1.3,10.25,6,0.0743267,0.126602,0.349066,-3.74327,1.37153,10.6918,0.0921687,10.6464,0.984051,-3.35313,1.28328,0.0344333
1.3,10.25,7,0.5,0.130093,0.349066,-3.53035,1.39121,10.7279,0.0967373,10.6777,1.03617,-3.1399,1.30432,0.0333554
1.3,10.25,8,0.5,0.133583,0.349066,-3.31679,1.41194,10.5737,0.105129,10.5153,1.10955,-2.92604,1.32641,0.0284542
1.3,10.25,9,0.5,0.137074,0.349066,-3.10649,1.43413,10.4103,0.110863,10.3464,1.15176,-2.71544,1.34996,0.0262115
1.3,10.25,10,0.5,0.140565,0.349066,-2.89956,1.45716,10.2411,0.115214,10.1732,1.1773,-2.50822,1.37437,0.0253511
1.3,10.25,11,0.5,0.144055,0.349066,-2.69609,1.48071,10.0673,0.11883,9.99629,1.19348,-2.30447,1.39928,0.0252257
1.3,10.25,12,0.5,0.147546,0.349066,-2.49617,1.50458,9.88969,0.122041,9.81613,1.20396,-2.10426,1.42452,0.0255047
1.3,10.25,13,0.5,0.151037,0.349066,-2.29985,1.52866,9.70861,0.125018,9.63284,1.21059,-1.90766,1.44996,0.0260186
1.3,10.25,14,0.5,0.154527,0.349066,-2.10719,1.55287,9.52422,0.127847,9.44649,1.21433,-1.71473,1.47554,0.02668
1.3,10.25,15,0.5,0.151372,0.349066,-1.91826,1.57716,9.33657,0.130574,9.25709,1.21565,-1.52605,1.49859,0.0207979
1.3,10.25,16,0.5,0.147881,0.349066,-1.73312,1.60147,9.13902,0.130217,9.06165,1.1867,-1.34119,1.52154,0.0176638
1.3,10.25,17,0.5,0.14439,0.351862,-1.55188,1.6252,8.93449,0.127914,8.8615,1.13974,-1.16046,1.54281,0.016476
1.3,10.25,18,0.5,0.1409,0.383566,-1.37465,1.648,8.72472,0.124439,8.65726,1.0829,-0.986375,1.55188,0.0164603
1.3,10.25,19,0.5,0.137409,0.439813,-1.20151,1.66966,8.5106,0.120219,8.44917,1.02067,-0.819661,1.55053,0.0171899
1.3,10.25,20,0.5,0.133918,0.519518,-1.03253,1.69007,8.29262,0.115486,8.23738,0.955555,-0.661897,1.53962,0.0184321
1.3,10.25,21,0.5,0.130428,0.623024,-0.867779,1.70918,8.07104,0.110364,8.02193,0.888941,-0.515336,1.52001,0.0200641
1.3,10.25,22,0.5,0.126937,0.750829,-0.70734,1.72696,7.84603,0.10491,7.80289,0.821621,-0.382696,1.49328,0.0220265
