u0_opt,u1_opt,u2_opt
0.271797,0.0761227,1.41236
0.25,0.0751786,1.41141
9.06914e-08,0.12328,0.349066
9.50094e-08,0.119789,0.349066
1.12106e-07,0.12328,0.349066
1.40416e-07,0.126771,0.349066
2.03802e-07,0.130261,0.349066
0.485624,0.133752,0.349066
0.5,0.137243,0.349066
0.5,0.140733,0.349066
0.5,0.144224,0.349066
0.5,0.147715,0.349066
0.5,0.147076,0.349066
0.5,0.143586,0.349066
0.5,0.140095,0.349066
0.5,0.136604,0.349066
0.5,0.133114,0.349066
0.5,0.129623,0.349066
0.5,0.126132,0.36405
0.5,0.122642,0.409647
0.5,0.119151,0.483052
0.5,0.11566,0.584387
0.5,0.11217,0.714787
0.5,0.108679,0.874931
0.5,0.105188,1.06379
0.5,0.101698,1.27767
0.5,0.098207,1.50988
0.5,0.0947164,1.7514
0.5,0.0912257,1.99249
2.53821e-06,0.087735,2.22484
2.66614e-06,0.0842444,2.44346
2.81172e-06,0.087735,2.25035
2.98239e-06,0.0912257,2.08791
3.18998e-06,0.0947164,1.95142
3.40616e-06,0.097077,1.83824
3.65077e-06,0.0982683,1.74582
3.92986e-06,0.099725,1.67137
4.25123e-06,0.101448,1.61206
4.62517e-06,0.103437,1.56517
5.06568e-06,0.105692,1.52831
5.59218e-06,0.108216,1.49945
6.23256e-06,0.111008,1.47692
7.0283e-06,0.114069,1.45937
7.9165e-06,0.117399,1.44573
9.20056e-06,0.12089,1.43518
1.09635e-05,0.124381,1.42705
1.35325e-05,0.127872,1.42084
1.76219e-05,0.131362,1.41616
2.51642e-05,0.134853,1.41273
4.40698e-05,0.138344,1.41033
0.26916,0.137487,1.40881
0.25,0.137116,1.40807
1.08393e-07,0.127012,0.349066
1.16766e-07,0.123521,0.349066
1.46326e-07,0.127012,0.349066
2.12089e-07,0.130503,0.349066
0.0946126,0.133993,0.349066
0.5,0.137484,0.349066
0.5,0.140975,0.349066
0.5,0.144465,0.349066
0.5,0.14589,0.349066
0.5,0.142873,0.349066
0.5,0.139382,0.349066
0.5,0.135891,0.349066
0.5,0.132401,0.349066
0.5,0.12891,0.349066
0.5,0.125419,0.349066
0.5,0.121929,0.349066
0.5,0.118438,0.382284
0.5,0.114947,0.445746
0.5,0.111457,0.538645
0.5,0.107966,0.662091
0.5,0.104475,0.81731
0.5,0.100985,1.00413
0.5,0.0974939,1.21969
0.5,0.0940032,1.45778
0.5,0.0905125,1.70913
0.5,0.0870219,1.96306
2.57725e-06,0.0835312,2.20992
2.70487e-06,0.0800405,2.44346
2.8455e-06,0.0835312,2.25035
3.00193e-06,0.0870219,2.08791
3.17649e-06,0.0905125,1.95141
3.3721e-06,0.0940032,1.83822
3.59246e-06,0.0974939,1.74579
3.84231e-06,0.100985,1.67134
4.12769e-06,0.104475,1.61201
4.45653e-06,0.107966,1.5651
4.83931e-06,0.111457,1.52822
5.29023e-06,0.114947,1.49933
5.82895e-06,0.118438,1.47676
6.48354e-06,0.121929,1.45916
7.29542e-06,0.125419,1.44546
8.32842e-06,0.12891,1.43483
9.68625e-06,0.132401,1.4266
1.15495e-05,0.135891,1.42026
1.42634e-05,0.139382,1.41542
1.8582e-05,0.142873,1.41177
2.65446e-05,0.146363,1.4091
4.64996e-05,0.149854,1.40723
0.255676,0.149526,1.40604
0.25,0.149372,1.40547
1.13267e-07,0.130845,0.349066
1.22234e-07,0.127354,0.349066
1.53346e-07,0.130845,0.349066
2.22463e-07,0.134335,0.349066
